# doc_id=4-LST-0101 discipline=4 revision=R0
Equipment,Equipment_1,Comments
2705K,Feed Stripper Mist Eliminator,
2721K,WNA Feed Flash Separator,
2722K,WNA Flash Mist Eliminator,
2723H,WNA Feed Evaporator,
2724V,Feed Evaporator Vacuum System,
2731U,WNA Distillation Column,
2732K,Distillation Mist Eliminator,
2733H,Distillation Reboiler,
2734H,Distillation Condenser,
2741H,Distillation Vacuum Condenser,
2742T,Distillate Tank,
2743P,Distillate Pump,
2744H,Distillate Cooler,
2751V,Product Vaporizer ejector,
2752K,Product Vaporizer Separator,
2753K,Product Vaporizer Mist Eliminator,
2754H,Product Vaporizer Condenser,
2755H,Product Vaporizer,
2756H,Residue Cooler,
2757T,Residue Receiver,
2771T,HNO3 Product Tank,
2772P,HNO3 Product Pump,
2773H,HNO3 Product Cooler,
2781C,Exhaust Fan,
2791P,WNA Sump Pump,
2792T,WNA Sump Tank,
Area 128,Spent Acid Stripping,
2801T,Unstripped Acid  Tank,
2802P,Unstripped Acid Pump,
2805H,Stripper Bottoms/Unstripped Acid Interchanger,
2806H,Stripper Bottoms Trim Cooler,
2807H,Unstripped Acid Preheater,
2808A,Acid dilution mixer,
2811U,Upper Stripping Column,
2812U,Lower Stripping Column,
2813K,Stripping Column Mist Eliminator,
2814H,Stripping Column Reboiler,
2821H,Stripper Condenser,
2822V,Stripper Vent Ejector,# = stage number used as suffix in equip no.
2823H,Stripper After Condenser,
2824C,Stripper Vent Blower,
2831K,Stripper Distillate Decanter,
2832X,Decanter Weir,
2841T,Aqueous Phase Tank,
2842P,Aqueous Phase Pump,
2843H,Aqueous Phase Cooler,
2851T,Organic Phase Tank,
2852P,Organic Phase Pump,
2861T,Stripper Bottoms Tank,
2862P,Stripper Bottoms Pump,
2871T,Tempered Water Tank,
2872P,Tempered Water Pump,
2881H,Aqueous Phase Evaporator (WNA Evaporator),
2891T,WNA Transfer Tank,
2892P,WNA Transfer Pump,
2893H,WNA Cooler,
Area 131,Sulphuric Acid Concentration (SAC),
3101T,Weak H2SO4 Tank,
3102P,Weak H2SO4 Pump,
3103H,Weak H2SO4 Cooler,
3105H,SAC Feed/Product Interchanger,
3106H,SAC Feed Preheater,
3107H,SAC Steam boiler,
3111H,Stage # SAC Evaporator Bundle,Tantalum Bayonets
3112H,Stage # SAC Evaporator Bundle,Zirconium Bayonets
3113H,Stage # SAC Evaporator Bundle,"Multiple Effect, Ziconium S&T"
3114H,Stage # SAC Evaporator Bundle,Carbon Block
3115H,Stage # SAC Evaporator Bundle,SARAMET
3116H,Stage # SAC Evaporator Bundle,Stainless Steel (weak acid or neutral solution - e.g. AMS)
3117H,Stage # SAC Evaporator Shell,Glass Lined Steel
3118H,Stage # SAC Evaporator Shell,FRP
3119H,Stage # SAC Evaporator Shell,Other
3121K,Stage # SAC Separator,Glass Lined Steel
3122K,Stage # SAC Separator,FRP
3126K,Stage # SAC Separator,Stainless Steel (weak acid or neutral solution - e.g. AMS)
3123P,Stage # SAC Circulation Pump,
3124P,Stage # SAC Interstage Pump,
3135K,Stage # SAC Mist Eliminator,Ta / PFA or Zr / PFA
3136K,Stage # SAC Mist Eliminator,Stainless Steel (weak acid or neutral solution - e.g. AMS)
3137U,Stage # Rectifying Column,
3141H,Stage # Process Condenser,
3142H,Stage # Barometric Condenser,
3143T,Distillate Tank,
3144P,Distillate Pump,
3145H,Distillate Cooler,
3151U,Stage # Acid Scrubber,
3152H,Stage # Acid Scrubber Cooler,
3153T,Scrubber Tank,
3154P,Scrubber Pump,
3155H,Scrubber Makeup Cooler,
3156K,Stage # Acid Scrubber Mist Eliminator,
3161V,Stage # Booster Ejector,
3162H,Stage # Primary Condenser,
3163V,Stage # Intermediate Ejector,
3164H,Stage # Intermediate Condenser,
3165V,Stage # Final Ejector,
3166H,Stage # Final Condenser,
3167V,Stage # Vacuum System Package,
3171V,Stage # Vacuum Pump,
3172C,Vent Fan,
3173T,Vent Seal Pot,
3181T,SAC Product Tank,
3182P,SAC Product Pump,
3183H,SAC Product Cooler,
3184H,SAC Product Chiller,
3185V,Product Tank Jet Mixer,For AMS Solutions
3187T,SAC Area Sump,
3188P,SAC Area Sump Pump,
3189T,SAC Area Sump Liner,
3191U,Halide Scrubber,
3192T,Halide Scrubber Tank,
3193P,Halide Scrubber Pump,
3194H,Halide Scrubber Cooler,
3195K,Halide Scrubber Mist Eliminator,
Area 134,Weak Acid Sulphide Precipitation,
3401T,Sulphide Solution Tank,
3402A,Sulphide Tank Agitator,
3403P,Sulphide Solution Pump,
3404A,Sulphide Static Mixer,
3411T,Filter Aid Storage Bin,
3412M,Filter Aid Conveyor,
3421T,Weak Acid Precipitation Tank,
3422A,Precipitation Tank Agitator,
3423P,Weak Acid Filter Pump,
3441K,Weak Acid Filter,
3442M,Weak Acid Filter Hopper,
3451U,H2S Stripper,
3452P,H2S Stripper Pump,
Area 136,Feed Acid Storage,
3601T,Spent Acid Storage Tank,
3602P,Spent Acid storage Pump,
3603H,Spent Acid Storage Heater,
3604A,Spent Acid Storage Agitator,
3611T,Weak H2SO4 Storage Tank,
3612P,Weak H2SO4 Storage Pump,
3613H,Weak H2SO4 Storage Heater,
3614A,Weak H2SO4 Storage Agitator,
3421T,Weak HNO3 Storage Tank,
3622P,Weak HNO3 Storage Pump,
Area 138,Product Acid Precipitation/Filtration,
3801T,H2SO4 Mixing Tank,
3802A,Mixing Tank Agitator,
3803P,Mixing Tank Pump,
3811H,Product Acid Cooler,
3812H,Product Acid Chiller,
3821T,H2SO4 Transfer Tank,
3822A,H2SO4 Transfer Tank Agitator,
3823P,H2SO4 Transfer Pump,
3831K,Product Filter,
3832M,Product Filter Hopper,
3841T,Sulphate Slurry Tank,
3842A,Sulphate Slurry Tank Agitator,
3843P,Sulphate Slurry Pump,
Area 141,Product Acid storage,
4101T,Product H2SO4 Storage Tank,
4102P,Product H2SO4 Storage Pump,
4103H,product H2So4 Storage Heater,
4111T,Product HNO3 Storage Tank,
4112P,Product HNO3 Storage Pump,
4113H,Product HNO3 Storage Chiller,
Area 146,Magnesium Nitrate HNO3 Concentration (MAGNAC),
4601T,Weak HNO3 Tank,
4602P,Weak HNO3 Pump,
4605T,Strong Mg(NO3)2 Tank,
4606P,Strong Mg(NO3)2 Pump,
4607H,Strong Mg(NO3)2 Tank Heater,
4611U,HNO3 Concentration Column,
4612H,Concentration Column Reboiler,
4616U,HNO3 Rectification Column,
4617H,Rectification Column Reflux Cooler,
4621H,Strong HNO3 Primary Condenser,
4622H,Strong HNO3 Secondary Condenser,
4625H,Unbleached Strong HNO3 cooler,
4626T,Unbleached Strong HNO3 Tank,
4627P,Unbleached Strong HNO3 Pump,
4631H,Unbleached Strong HNO3 Reheater,
4632K,Unbleached Strong HNO3 Separator,
4633U,Strong HNO3 Bleacher,
4634H,Bleacher Reheater,
4641H,Strong HNO3 Product Cooler,
4642T,Strong HNO3 Product Tank,
4643P,Strong HNO3 Product Pump,
4651T,Weak Mg(NO3)2 Tank,
4652P,Weak Mg(NO3)2 Pump,
4653H,Weak Mg(NO3)2 Tank Heater,
4661H,Mg(NO3)2 Evaporator,
4662K,Mg(NO3)2 Separator,
4663H,Mg(NO3)2 Evaporator Condenser,
4664V,Mg(NO3)2 Evaporator Ejector,
4665H,Ejector Condenser,
4671T,Mg(NO3)2 Makeup Tank,
4672P,Mg(NO3)2 Makeup Pump,
4673H,Mg(NO3)2 Makeup Tank Heater,
4674A,Mg(NO3)2 Makeup Tank Agitator,
4681T,Distillate Tank,
4682P,Distillate Pump,
Area 151,Vapour Phase Organic Destruction (VPOD),
,Vapour Phase Sulphuric Acid Concentration (VSAC),
,Wet Gas Sulphuric Acid Production,
5111U,Economizer Tower,
5112T,Economizer Pump Tank,
5113P,Economizer Circulation Pump,
5114H,Economizer/Recycle Interchanger,
5115H,Economizer Booster Heater,
5116K,Economizer Mist Eliminator Pad,
5121K,Mist Eliminator Candles,
5122T,Mist Eliminator Candle Vessel,
5123F,Vent Stack,
5131C,Process Air Fan,
