# doc_id=9-LST-0704 discipline=9 revision=R0
Items to be checked:,
"Check enclosure type, location, mounting elevation and mounting details of all welding receptacles.",
"Check cable runs, cable supports and cable terminations.",
Megger test all cables.,
Check for correct circuit breaker size and location in MCC.  Check labels.,
Check grounding of receptacles.,
