# doc_id=0-REP-8405 table=5 inline=true
Executive Management,
Home Office Engineering,
Home Office Construction Management,
Home Office Clerical,
Home Office – Other,
Safety (Home Office and Field),
Field Construction Management,
Total Permanent Employees,
Field Labour (Average Week),
