# doc_id=0-LST-0001-1 discipline=0 revision=R0
col_0,Plant,col_2,col_3,col_4,Document Register,col_6,col_7,col_8,Standard-0-LST-0001-1-R0,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20
,Location,,,,,,,,Client Document Number,,,,,,,,,,,
,Document Number,,,,,,As,WBS,Qty,,,Document Status,,,,,Subcontract Documents,,,
,0.0,PRC,3001,70 SPC 0 12 72,Project Planning,,,,1.0,,,,,,,,,,,
,0.0,PRC,3002,70 SPC 0 16 512,Project Scheduling,,,,1.0,,,,,,,,,,,
,0.0,PRC,3003,,Project Resource Management,,,,1.0,,,,,,,,,,,
,,,4xxx,,0-4 Cost Control,,,,,,,,,,,,,,,
,,DAT,,,,,,,,,,,,,,,,,,
,0.0,DAT,4001.0,,Project Budget,,,,1.0,,,,,,,,,,,
,,,,70 SPC 0 08 66,,,,,,,,,,,,,,,,
,,PRC,,70 SPC 0 10 517,,,,,,,,,,,,,,,,
,0.0,PRC,4001,70 SPC 0 12 72,Cost Codes,,,,1.0,,,,,,,,,,,
,0.0,PRC,4002,70 SPC 0 16 512,Project Budget and Cost Forecasting,,,,1.0,,,,,,,,,,,
,0.0,PRC,4003,,Change Management PVN/PCN,,,,1.0,,,,,,,,,,,
,0.0,PRC,4004,,Scope Change Control,,,,1.0,,,,,,,,,,,
,0.0,PRC,4005,,Project Planning and Scheduling,,,,1.0,,,,,,,,,,,
,,,5xxx,,0-5 Procurement,,,,,,,,,,,,,,,
,,LST,,,,,,,,,,,,,,,,,,
,0.0,LST,5001,00 LST 0 01 528,Procurement Plan,,,,1.0,,,,,,,,,,,
,,,,00 LST 0 01 528,,,,,,,,,,,,,,,,
,,PRC,,70 SPC 0 10 517,,,,,,,,,,,,,,,,
,0.0,PRC,5001,0-PRC-5001,Form of Purchase Order,,,,1.0,,,,,,,,,,,
,0.0,PRC,5002,0-PRC-5002,Requisition for Quotation or Purchase,,,,1.0,,,,,,,,,,,
,,PRC,5003,0-PRC-5003,Bid Evaluation and Approval,,,,1.0,,,,,,,,,,,
,,PRC,5004,0-PRC-5004,Commercial Terms for Purchase,,,,1.0,,,,,,,,,,,
,,PRC,5005,0-PRC-5005,Issue of Request for Quotation or Purchase Order,,,,1.0,,,,,,,,,,,
,,REP,,,,,,,,,,,,,,,,,,
,0.0,REP,5001.0,,RFQ Report,,,,1.0,,,,,,,,,,,
,0.0,REP,5002.0,,PO Report,,,,1.0,,,,,,,,,,,
,0.0,REP,5101.0,,Expediting Report,,,,1.0,,,,,,,,,,,
,0.0,REP,520x,,Vendor Shop Surveys,,,,1.0,,,,,,,,,,,
,,,,70 SPC 0 08 66,,,,,,,,,,,,,,,,
,,SPC,,,,,,,,,,,,,,,,,,
,0,SPC,5001,5001,Standard Conditions for Purchase - Short Form,,,,1.0,,,,,,,,,,,
,0,SPC,5002,5002,Standard Conditions for Purchase - Long Form,,,,1.0,,,,,,,,,,,
,0,SPC,5003,5003,[Template] Special Conditions for Purchase,,,,1.0,,,,,,,,,,,
,0,SPC,5004,5004,Packaging Land Transport,,,,1.0,,,,,,,,,,,
,0,SPC,5005,5005,Packaging Marine Transport,,,,1.0,,,,,,,,,,,
,0,SPC,5006,5006,Instructions to Bidders,,,,1.0,,,,,,,,,,,
,0,SPC,5007,5007,Standard Conditions for Purchase (Bulk Materials),,,,1.0,,,,,,,,,,,
,,,6xxx,,0-6 Construction,,,,,,,,,,,,,,,
,,PRC,,70 SPC 0 10 517,,,,,,,,,,,,,,,,
,0,PRC,6001.0,6001,Plant Constructability Review,,,,1.0,,,,,,,,,,,
,0,PRC,6002.0,6002,Form of Construction Subcontract Agreement,,,,1.0,,,,,,,,,,,
,0,PRC,6003.0,6003,Construction Subcontractor Evaluation and Approval,,,,1.0,,,,,,,,,,,
,0,PRC,6004.0,6004,Commercial Terms for Construction Subcontract,,,,1.0,,,,,,,,,,,
,0,PRC,6005.0,6005,Issue of Construction Subcontract,,,,1.0,,,,,,,,,,,
,0,PRC,6006.0,6006,Construction Management,,,,1.0,,,,,,,,,,,
,0,PRC,6007.0,6007,Construction Subcontract Control,,,,1.0,,,,,,,,,,,
,0,PRC,6041.0,6041,Construction Material Control,,,,1.0,,,,,,,,,,,
,0,PRC,6051.0,6051,Construction Safety Management,,,,1.0,,,,,,,,,,,
,0,PRC,6061.0,6061,Construction Environmental Management,,,,1.0,,,,,,,,,,,
,0,PRC,6071.0,6071,Construction Quality Assurance,,,,1.0,,,,,,,,,,,
,0,PRC,6081.0,6081,Construction Industrial Relations Management,,,,1.0,,,,,,,,,,,
,0,PRC,6091.0,6091,Construction Subcontract Scope Preparation,,,,1.0,,,,,,,,,,,
,0,PRC,6092.0,6092,Construction Technical Queries,,,,1.0,,,,,,,,,,,
,,REQ,,,,,,,,,,,,,,,,,,
,0.0,REQ,600x,,Construction and Site Requisitions,,,,1.0,,,,,,,,,,,
,0.0,REQ,600x,,,,,,,,,,,,,,,,,
,,SPC,,,,,,,,,,,,,,,,,,
,0,SPC,6001,6001,Standard Conditions for Construction Subcontract,,,,1.0,,,,,,,,,,,
,0,SPC,6002,6002,Instructions to Construction Subcontractors for Tender,,,,1.0,,,,,,,,,,,
,0,SPC,6003,6003,Construction Subcontract Coordination,,,,1.0,,,,,,,,,,,
,0,SPC,6011,6011,Construction Subcontract Pricing: Lump Sum,,,,1.0,,,,,,,,,,,
,0,SPC,6012,6012,Construction Subcontract Pricing: Unit Price,,,,1.0,,,,,,,,,,,
,0,SPC,6021,6021,Construction Subcontract Scheduling,,,,1.0,,,,,,,,,,,
,0,SPC,6041,6041,Construction Subcontract Material Control,,,,1.0,,,,,,,,,,,
,0,SPC,6051,6051,Construction Subcontract Safety Management,,,,1.0,,,,,,,,,,,
,0,SPC,6061,6061,Construction Subcontract Environmental Management,,,,1.0,,,,,,,,,,,
,0,SPC,6071,6071,Construction Subcontract Quality Assurance,,,,1.0,,,,,,,,,,,
,0,SPC,6081,6081,Construction Subcontract Industrial Relations Management,,,,1.0,,,,,,,,,,,
,0,SPC,6091,6091,Construction Subcontractor Document Supply,,,,1.0,,,,,,,,,,,
,0,SPC,6X01,6X01,Special Conditions for Construction Subcontract,,,,1.0,,,,,,,,,,,
,0,SPC,6X04,6X04,[Template] Special Conditions for Construction Subcontract,,,,1.0,,,,,,,,,,,
,0,SPC,6X9X,6X9X,[Template] [Major Work Division] Construction,,,,1.0,,,,,,,,,,,
,,SUB,,,,,,,,,,,,,,,,,,
,0.0,SUB,6X04,15,[Template] Special Conditions for Construction Subcontract,,,,1.0,,,,,,,,,,,
,0.0,SUB,6X00,,,,,,,,,,,,,,,,,
,,TAB,,,,,,,,,,,,,,,,,,
,0.0,TAB,600x,,Construiction and Site Bid Tabs,PO's,,,1.0,,,,,,,,,,,
,0.0,TAB,600x,,,PO's,,,,,,,,,,,,,,
,0.0,TAB,6x00,,,Subcontracts,,,,,,,,,,,,,,
,0.0,TAB,6x00,,,Subcontracts,,,,,,,,,,,,,,
,,,7xxx,,0-7 Quality Assurance,,,,,,,,,,,,,,,
,,LST,,,,,,,,,,,,,,,,,,
,0.0,LST,7001,00 LST 0 01 528,QA and Inspection Plan,,,,1.0,,,,,,,,,,,
,0.0,LST,7003,00 LST 0 01 528,Quality Plan References,,,,1.0,,,,,,,,,,,
,0.0,LST,7004,00 LST 0 01 528,Project Noncomformance Report Register,,,,1.0,,,,,,,,,,,
,,PRC,,70 SPC 0 10 517,,,,,,,,,,,,,,,,
,0.0,PRC,7003,,Quality Plan,,,,1.0,,,,,,,,,,,
,0.0,PRC,7004,70 SPC 0 12 72,Checking and Approval of Design,,,,1.0,,,,,,,,,,,
,0.0,PRC,7005,70 SPC 0 16 512,Vendor Quality Assurance,,,,1.0,,,,,,,,,,,
,0.0,PRC,7007,,Engineering Subcontractor Quality Assurance,,,,1.0,,,,,,,,,,,
,0.0,PRC,7008,,Internal Audit,,,,1.0,,,,,,,,,,,
,,QDS,,,,,,,,,,,,,,,,,,
,0.0,QDS,7XXX,,Quality Data Sheets,,,,1.0,,,,,,,,,,,
,0.0,QDS,7XXX,,,,,,,,,,,,,,,,,
,,REL,,,,,,,,,,,,,,,,,,
,0.0,REL,XXXX,,[Template] Inspection Release,,,,1.0,,,,,,,,,,,
,0.0,REL,700x,,,,,,,,,,,,,,,,,
,,REQ,,,,,,,,,,,,,,,,,,
,0.0,REQ,700x,,Inspection Service Requisitions,,,,1.0,,,,,,,,,,,
,0.0,REQ,700x,,,,,,,,,,,,,,,,,
,,REP,,,,,,,,,,,,,,,,,,
,0.0,REP,7001,15,[Template] Internal Audit Report,,,,1.0,,,,,,,,,,,
,0.0,REP,700x,,Inspection Reports,,,,1.0,,,,,,,,,,,
,,,8xxx,,0-8 HSE,,,,,,,,,,,,,,,
,,PRC,,70 SPC 0 10 517,,,,,,,,,,,,,,,,
,0.0,PRC,8001,70 SPC 0 16 512,Project Health and Safety Planning,,,,1.0,,,,,,,,,,,
,0.0,PRC,8004,70 SPC 0 12 72,Jobsite Notices and Posting Requirements,,,,1.0,,,,,,,,,,,
,0.0,PRC,8005,70 SPC 0 16 512,Employee Safety Orientation,,,,1.0,,,,,,,,,,,
,0.0,PRC,8006,70 SPC 0 12 72,Task Safety Awareness,,,,1.0,,,,,,,,,,,
,0.0,PRC,8007,70 SPC 0 16 512,Job Hazard Analysis,,,,1.0,,,,,,,,,,,
,0.0,PRC,8014,70 SPC 0 16 512,Accident and Incident Reporting and Investigation,,,,1.0,,,,,,,,,,,
,0.0,PRC,8015,70 SPC 0 12 72,Personal Protective Equipment,,,,1.0,,,,,,,,,,,
,0.0,PRC,8016,70 SPC 0 16 512,Safety Training,,,,1.0,,,,,,,,,,,
,0.0,PRC,8045,70 SPC 0 12 72,Project Health and Safety and Environment Plan (Project Specific),,,,1.0,,,,,,,,,,,
,0.0,PRC,8400,70 SPC 0 12 72,HSE Management for Chemetics Construction Site Advisors,,,,1.0,,,,,,,,,,,
,0.0,PRC,8401,70 SPC 0 16 512,HSE Responsibilities of Construction Staff,,,,1.0,,,,,,,,,,,
,0.0,PRC,8406,70 SPC 0 12 72,ConstructionHazardous Material Handling,,,,1.0,,,,,,,,,,,
,0.0,PRC,8410,70 SPC 0 16 512,Subcontractor Health and Safety Management,,,,1.0,,,,,,,,,,,
,0.0,PRC,8411,70 SPC 0 12 72,Subcontractor Environment Management,,,,1.0,,,,,,,,,,,
,0.0,PRC,8501,70 SPC 0 16 512,Work Permits,,,,1.0,,,,,,,,,,,
,0.0,PRC,8502,70 SPC 0 12 72,Confined Space Entry,,,,1.0,,,,,,,,,,,
,0.0,PRC,8503,70 SPC 0 16 512,Open Flame,,,,1.0,,,,,,,,,,,
,0.0,PRC,8504,70 SPC 0 16 512,Lockout & Tagout,,,,1.0,,,,,,,,,,,
,0.0,PRC,8505,,Line and Flange Break,,,,1.0,,,,,,,,,,,
,,,,,Subtotal    0 - Administration,,,,136.0,,,,,,,,,,,
,1.0,,,,1 - Process Technology,,,,,,,,,,,,,,,
,,CAL,,,,,,,,,,,,,,,,,,
,1.0,CAL,XXXX,1-CAL-6510,Process Calcualtions,,,,1.0,,,,,,,,,,,
,1.0,CAL,XXXX,1-CAL-6520,,,,,1.0,,,,,,,,,,,
,,DST,,,,,,,,,,,,,,,,,,
,1.0,DST,0001,1-DST-0001,[Template] Site Design Conditions,,,,1.0,,,,,,,,,,,
,1.0,DST,XXXX,,,,,,,,,,,,,,,,,
,,HAZ,,,,,,,,,,,,,,,,,,
