# doc_id=0-LST-0001-1 discipline=0 revision=R0
col_0,Plant,col_2,col_3,col_4,Document Register,col_6,col_7,col_8,Standard-0-LST-0001-1-R0,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20
,Location,,,,,,,,Client Document Number,,,,,,,,,,,
,Document Number,,,,,,As,WBS,Qty,,,Document Status,,,,,Subcontract Documents,,,
,4.0,PRC,0002,4-PRC-0002,Equipment Design Criteria,,,,1.0,,,,,,,,,,,
,4.0,PRC,0003,4-PRC-0003,Equipment Design and Specification,,,,1.0,,,,,,,,,,,
,4.0,PRC,0004,4-PRC-0004,Mechanical Checkout Equipment,,,,1.0,,,,,,,,,,,
,4.0,PRC,0005,4-PRC-0005,Equipment Part Numbering,,,,1.0,,,,,,,,,,,
,4.0,PRC,XXXX,4-PRC-0007,Equipment Procedures,,,,1.0,,,,,,,,,,,
,,PRP,,,,,,,,,,,,,,,,,,
,4.0,PRP,XXXX,00 PRP 4 01 549,Propreitary Equipemnt Drawings,,,,1.0,,,,,,,,,,,
,4.0,PRP,XXXX,00 PRP 4 10 551,,,,,,,,,,,,,,,,
,,REQ,,,,,,,,,,,,,,,,,,
,4.0,REQ,XXXX,00 PRP 4 01 549,Equipment Requisitions,,,,1.0,,,,,,,,,,,
,4.0,REQ,XXXX,00 PRP 4 10 551,,,,,,,,,,,,,,,,
,,SCR,,,,,,,,,,,,,,,,,,
,4.0,SCR,XXXX,4-SCR-0001,Equipment Support Criteria Drawings,,,,1.0,,,,,,,,,,,
,4.0,SCR,XXXX,4-SCR-7540,,,,,,,,,,,,,,,,
,,SPC,,,,,,,,,,,,,,,,,,
,4.0,SPC,0001,4-SPC-0001,General Equipment Requirements,,,,1.0,,,,,,,,,,,
,4.0,SPC,0002,4-SPC-0002,Horizontal Centrifugal Pumps,,,,1.0,,,,,,,,,,,
,4.0,SPC,0003,4-SPC-0003,Horizontal Centrifugal Mag Drive Pumps,,,,1.0,,,,,,,,,,,
,4.0,SPC,0008,4-SPC-0008,Equipment Lining Rubber,,,,1.0,,,,,,,,,,,
,4.0,SPC,0011,4-SPC-0011,Equipment Lining Fiberglass,,,,1.0,,,,,,,,,,,
,4.0,SPC,0012,4-SPC-0012,Equipment Lining Acid Resistant Brick,,,,1.0,,,,,,,,,,,
,4.0,SPC,0014,4-SPC-0014,Equipment Welding High Nickel Stainless Steel,,,,1.0,,,,,,,,,,,
,4.0,SPC,0015,4-SPC-0015,Equipment Welding Incolay 825,,,,1.0,,,,,,,,,,,
,4.0,SPC,0016,4-SPC-0016,Equipment Welding Stainless Clad Steel,,,,1.0,,,,,,,,,,,
,4.0,SPC,0017,4-SPC-0017,Equipment Welding 6% Moly Stainless Steel,,,,1.0,,,,,,,,,,,
,4.0,SPC,0018,4-SPC-0018,Equipment Welding Heat Resistant Stainless Steel,,,,1.0,,,,,,,,,,,
,4.0,SPC,0021,4-SPC-0021,Equipment Welding Nickel/Copper Alloy,,,,1.0,,,,,,,,,,,
,4.0,SPC,0024,4-SPC-0024,Equipment Welding Unalloyed Zirconium,,,,1.0,,,,,,,,,,,
,4.0,SPC,0025,4-SPC-0025,Equipment Welding Saramet Stainless Steel C,,,,1.0,,,,,,,,,,,
,4.0,SPC,0026,4-SPC-0026,Equipment Welding Hastelloy Alloy C,,,,1.0,,,,,,,,,,,
,4.0,SPC,0027,4-SPC-0027,Equipment Welding Duplex Stainless Steel,,,,1.0,,,,,,,,,,,
,4.0,SPC,0040,4-SPC-0040,"Shop Fabricated Metallic Vessels
and Metallic Vessel Components",,,,1.0,,,,,,,,,,,
,4.0,SPC,0041,4-SPC-0041,Gas/Gas Heat Exchangers,,,,1.0,,,,,,,,,,,
,4.0,SPC,0042,4-SPC-0042,Reinforced Plastic (FRP) Equipment,,,,1.0,,,,,,,,,,,
,4.0,SPC,0043,4-SPC-0043,Dual Laminate Equipment,,,,1.0,,,,,,,,,,,
,4.0,SPC,0044,4-SPC-0044,Glass Lined Steel Equipment,,,,1.0,,,,,,,,,,,
,4.0,SPC,0045,4-SPC-0045,Tantalum Heat Exchangers,,,,1.0,,,,,,,,,,,
,4.0,SPC,0046,4-SPC-0046,Sulphuric Acid Storage Tanks,,,,1.0,,,,,,,,,,,
,4.0,SPC,0047-1,4-SPC-0047-1,Stainless Steel tubes for Gas/Gas Heat Exchangers Tier 1 Vendors,,,,1.0,,,,,,,,,,,
,4.0,SPC,0047-2,4-SPC-0047-2,Stainless Steel tubes for Gas/Gas Heat Exchangers - Tier 2 Vendors,,,,1.0,,,,,,,,,,,
,4.0,SPC,0048,4-SPC-0048,Carbon Steel Tubes for Gas/Gas Heat Exchangers,,,,1.0,,,,,,,,,,,
,4.0,SPC,0060,4-SPC-0060,Welding Carbon Steel,,,,1.0,,,,,,,,,,,
,4.0,SPC,0061,4-SPC-0061,Welding Austenitic Stainless Steel,,,,1.0,,,,,,,,,,,
,4.0,SPC,0067,4-SPC-0067,Welding Titanium,,,,1.0,,,,,,,,,,,
,4.0,SPC,0068,4-SPC-0068,Welding Unalloyed Nickel,,,,1.0,,,,,,,,,,,
,4.0,SPC,0069,4-SPC-0069,Welding CrMo Alloy Steels,,,,1.0,,,,,,,,,,,
,4.0,SPC,0081,4-SPC-0081,Rubber Lined Equipment,,,,1.0,,,,,,,,,,,
,4.0,SPC,0082,4-SPC-0082,Refractory Lining,,,,1.0,,,,,,,,,,,
,4.0,SPC,0105,4-SPC-0105,Installation of Refractory Lining,,,,1.0,,,,,,,,,,,
,4.0,SPC,0106,4-SPC-0106,Equipment Lining Acid Resistant Brick-Installation,,,,1.0,,,,,,,,,,,
,4.0,SPC,7540,4-SPC-7540,Converter Shop Fabrication,,,,1.0,,,,,,,,,,,
,4.0,SPC,XXXX,4-SPC-XXXX,Equipment Specficiations,,,,1.0,,,,,,,,,,,
,,TAB,,,,,,,,,,,,,,,,,,
,4.0,TAB,XXXX,00 SPC 4 01 60,Equipment Bid Tabulations,,,,1.0,,,,,,,,,,,
,4.0,TAB,XXXX,00 SPC 4 04 556,,,,,,,,,,,,,,,,
,,VDR,,,,,,,,,,,,,,,,,,
,4.0,VDR,XXXX,4-VDR-6560,Equipment Vendaor Data Requirements,,,,1.0,,,,,,,,,,,
,4.0,VDR,XXXX,4-VDR-XXXX,,,,,,,,,,,,,,,,
,,,,,Subtotal    4 - Equipment,,,,58.0,,,,,,,,,,,
,5.0,,,,5 - Piping and Layout,,,,,,,,,,,,,,,
,5.0,CAL,,,,,,,,,,,,,,,,,,
,5.0,CAL,XXXX,5-CAL-XXXX,Piping Calculations,,,,1.0,,,,,,,,,,,
,5.0,CAL,XXXX,,,,,,,,,,,,,,,,,
,,DTL,,,,,,,,,,,,,,,,,,
,5.0,DTL,XXXX,5-DTL-XXXX,Piping Detail Drawings,,,,1.0,,,,,,,,,,,
,5.0,DTL,XXXX,50 GAD 5 21,,,,,,,,,,,,,,,,
,,GAD,,,,,,,,,,,,,,,,,,
,5.0,GAD,XXXX,00 DTL 5 01,Piping General Arrangements,,,,1.0,,,,,,,,,,,
,5.0,GAD,XXXX,00 DTL 5 03,,,,,,,,,,,,,,,,
,,ISO,,,,,,,,,,,,,,,,,,
,5.0,ISO,XXXX,,Piping Isomatrics,,,,1.0,,,,,,,,,,,
,5.0,ISO,XXXX,,,,,,,,,,,,,,,,,
,,LST,,,,,,,,,,,,,,,,,,
,5.0,LST,0001,5-LST-0001,Line List,,,,1.0,,,,,,,,,,,
,5.0,LST,0002,5-LST-0002,Tie Point List,,,,1.0,,,,,,,,,,,
,5.0,LST,0003,5-LST-0003,Piping Specialty Item List (Type A),,,,1.0,,,,,,,,,,,
,5.0,LST,0005,5-LST-0005,Plant Layout Review,,,,1.0,,,,,,,,,,,
,5.0,LST,0008,5-LST-0008,Restriction Orifice List,,,,1.0,,,,,,,,,,,
,5.0,LST,0011,5-LST-0011,Ansi Piping Connections for Instrumentation,,,,1.0,,,,,,,,,,,
,5.0,LST,XXXX,5-LST-0011,Piping Lists,,,,1.0,,,,,,,,,,,
,,PRC,,,,,,,,,,,,,,,,,,
,5.0,PRC,0001,5-PRC-0001,Plant Pipe Numbering,,,,1.0,,,,,,,,,,,
,5.0,PRC,0002,5-PRC-0002,Piping Design Criteria,,,,1.0,,,,,,,,,,,
,5.0,PRC,0003,5-PRC-0003,Piping Design and Specification,,,,1.0,,,,,,,,,,,
,5.0,PRC,0004,5-PRC-0004,Line List Development and Approval,,,,1.0,,,,,,,,,,,
,5.0,PRC,0005,5-PRC-0005,Plant Layout Review,,,,1.0,,,,,,,,,,,
,5.0,PRC,0006,5-PRC-0006,Piping Specialty Item Numbering,,,,1.0,,,,,,,,,,,
,5.0,PRC,0007,5-PRC-0007,Mechanical Checkout Piping,,,,1.0,,,,,,,,,,,
,5.0,PRC,0008,5-PRC-0008,Restriction Orifice Plates Sizing,,,,1.0,,,,,,,,,,,
,5.0,PRC,0009,5-PRC-0009,Pipe Velocity Sizing Criteria,,,,1.0,,,,,,,,,,,
,5.0,PRC,XXXX,5-PRC-0009,Pipe and Duct Procedures,,,,1.0,,,,,,,,,,,
,,PSI,,,,,,,,,,,,,,,,,,
,5.0,PSI,XXXX,00 LST 5 01 530,Piping Specialty Item Drawings,,,,1.0,,,,,,,,,,,
,5.0,PSI,XXXX,00 LST 5 03 532,,,,,,,,,,,,,,,,
,,REQ,,,,,,,,,,,,,,,,,,
,5.0,REQ,XXXX,00 LST 5 01 530,Pipe and Duct Requisitions,,,,1.0,,,,,,,,,,,
,5.0,REQ,XXXX,00 LST 5 02 531,,,,,,,,,,,,,,,,
,,SCR,,,,,,,,,,,,,,,,,,
,5.0,SCR,XXXX,65 SCR 5 00,Duct Supporty Criteria Drawings,,,,1.0,,,,,,,,,,,
,5.0,SCR,XXXX,65 SCR 5 00,,,,,,,,,,,,,,,,
,,SPC,,,,,,,,,,,,,,,,,,
,5.0,SPC,0001,5-SPC-0001,Pipe Specification,,,,1.0,,,,,,,,,,,
,5.0,SPC,0002,5-SPC-0002,Bolting,,,,1.0,,,,,,,,,,,
,5.0,SPC,0003,5-SPC-0003,Gaskets,,,,1.0,,,,,,,,,,,
,5.0,SPC,0004,5-SPC-0004,Valve Specification,,,,1.0,,,,,,,,,,,
,5.0,SPC,0005,5-SPC-0005,Pipe Support Specification,,,,1.0,,,,,,,,,,,
,5.0,SPC,0006,5-SPC-0006,Guidelines for Field Supporting of Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,0007,5-SPC-0007,Matal Duct Fabrication,,,,1.0,,,,,,,,,,,
,5.0,SPC,0008,5-SPC-0008,Duct Support Spec,,,,1.0,,,,,,,,,,,
,5.0,SPC,0010,5-SPC-0010,Metal Duct Fabrication,,,,1.0,,,,,,,,,,,
,5.0,SPC,0011,5-SPC-0011,Metal Duct Installation,,,,1.0,,,,,,,,,,,
,5.0,SPC,0100,5-SPC-0100,Pipe & Fittings,,,,1.0,,,,,,,,,,,
,5.0,SPC,0101,5-SPC-0101,Pipe Installation Dry Chlorine Service,,,,1.0,,,,,,,,,,,
,5.0,SPC,0102,5-SPC-0102,Pipe Installation Testing and Flushing,,,,1.0,,,,,,,,,,,
,5.0,SPC,0104,5-SPC-0104,Pipe Installation,,,,1.0,,,,,,,,,,,
,5.0,SPC,0121,5-SPC-0121,Pipe Fabrication Stainless Steel,,,,1.0,,,,,,,,,,,
,5.0,SPC,0122,5-SPC-0122,Pipe Fabrication Carbon Steel,,,,1.0,,,,,,,,,,,
,5.0,SPC,0123,5-SPC-0123,Fabrication and NDE requirements for Saramet Stainless Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,0124,5-SPC-0124,Pipe Fabrication Saramet Stainless Steel,,,,1.0,,,,,,,,,,,
,5.0,SPC,0150,5-SPC-0150,Metal Duct Installation,,,,1.0,,,,,,,,,,,
,5.0,SPC,AB1,5-SPC-AB1,ABS,,,,1.0,,,,,,,,,,,
,5.0,SPC,CD6,5-SPC-CD6,Carbon Steel Duct,,,,1.0,,,,,,,,,,,
,5.0,SPC,CD7,5-SPC-CD7,Carbon Steel Duct,,,,1.0,,,,,,,,,,,
,5.0,SPC,CF1,5-SPC-CF1,FRP Wrapped CPVC Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,CF2,5-SPC-CF2,CPVC-FRP Dual Laminate Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,CP3,5-SPC-CP3,CPVC Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,CS4,5-SPC-CS4,Carbon Steel Galvanized Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,CS6,5-SPC-CS6,Carbon Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,CS7,5-SPC-CS7,Carbon Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,CS8,5-SPC-CS8,Carbon Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,CS9,5-SPC-CS9,Carbon Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,CS11,5-SPC-CS11,Carbon Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,CS12,5-SPC-CS12,Carbon Steel Duct,,,,1.0,,,,,,,,,,,
,5.0,SPC,CS14,5-SPC-CS14,Carbon Steel Pipe - 300#,,,,1.0,,,,,,,,,,,
,5.0,SPC,CS15,5-SPC-CS15,Carbon Steel Pipe - 600#,,,,1.0,,,,,,,,,,,
,5.0,SPC,CS16,5-SPC-CS16,Carbon Steel Pipe - 900#,,,,1.0,,,,,,,,,,,
,5.0,SPC,CS17,5-SPC-CS17,Cr-Mo alloy Steel Pipe- 900#,,,,1.0,,,,,,,,,,,
,5.0,SPC,CS20,5-SPC-CS20,Carbon Steel Pipe Steam Jacketed (Sulphur),,,,1.0,,,,,,,,,,,
,5.0,SPC,EF1,5-SPC-EF1,FEP Lined FRP Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,FD23,5-SPC-FD23,FRP Duct,,,,1.0,,,,,,,,,,,
,5.0,SPC,FR5,5-SPC-FR5,FRP Pipe Butt and Strap,,,,1.0,,,,,,,,,,,
,5.0,SPC,FR6,5-SPC-FR6,FRP Pipe - ABCO P-150 Tapered Adhesive Joint,,,,1.0,,,,,,,,,,,
,5.0,SPC,FR7,5-SPC-FR7,FRP Pipe - ABCO H-150 Tapered Adhesive Joint High Temp,,,,1.0,,,,,,,,,,,
,5.0,SPC,FR9,5-SPC-FR9,FRP Pipe - High Temperature Spooled,,,,1.0,,,,,,,,,,,
,5.0,SPC,FR10,5-SPC-FR10,FR Pipe Integral Spooled HT,,,,1.0,,,,,,,,,,,
,5.0,SPC,FR11,5-SPC-FR11,FR Pipe Fire Retardent,,,,1.0,,,,,,,,,,,
,5.0,SPC,FR12,5-SPC-FR12,FR 75# Pressure Rating,,,,1.0,,,,,,,,,,,
,5.0,SPC,FR13,5-SPC-FR13,FR 25# Pressure Rating,,,,1.0,,,,,,,,,,,
,5.0,SPC,FR22,5-SPC-FR22,FR Acid Service,,,,1.0,,,,,,,,,,,
,5.0,SPC,NI,5-SPC-NI,Nickel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,PE1,5-SPC-PE1,HDPE Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,PF1,5-SPC-PF1,FRP Wrapped PP Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,PP6,5-SPC-PP6,Polypropylene Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,PV6,5-SPC-PV6,PVC Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,PV7,5-SPC-PV7,PV Duct,,,,1.0,,,,,,,,,,,
,5.0,SPC,PVC,5-SPC-PVC,FRP Wrapped PVC Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,PVDF,5-SPC-PVDF,VPVDF Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,PVD1,5-SPC-PVD1,PVDF Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,S10,5-SPC-S10,310S Stainless Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,S12,5-SPC-S12,316L Stainless Steel Tube,,,,1.0,,,,,,,,,,,
,5.0,SPC,S20,5-SPC-S20,Alloy 20 Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,S21,5-SPC-S21,Alloy 20 Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,S23,5-SPC-S23,SARAMET 23 Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,S35,5-SPC-S35,Saramet 35 Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,S41,5-SPC-S41,304L Stainless Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,S42,5-SPC-S42,304L Stainless Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,S43,5-SPC-S43,304L Stainless Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,S43,5-SPC-S43,316L Stainless Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,S44,5-SPC-S44,304L Stainless Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,S63,5-SPC-S63,316L Stainless Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,S64,5-SPC-S64,316L Stainless Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,S65,5-SPC-S65,316L Stainless Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,SD3,5-SPC-SD3,Stainless Steel Duct,,,,1.0,,,,,,,,,,,
,5.0,SPC,SD4,5-SPC-SD4,Stainless Steel Duct,,,,1.0,,,,,,,,,,,
,5.0,SPC,TC3,5-SPC-TC3,PTFE Lined Carbon Steel Pipe - Field Floe,,,,1.0,,,,,,,,,,,
,5.0,SPC,TC4,5-SPC-TC4,PTFE Lined Carbon Steel Spooled Pipe - Spooled,,,,1.0,,,,,,,,,,,
,5.0,SPC,TG1,5-SPC-TG1,Glass Lined Carbon Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,TS1,5-SPC-TS1,Teflon-Lined Stainless Steel Pipe,,,,1.0,,,,,,,,,,,
,5.0,SPC,TT3,5-SPC-TT3,Titanium Pipe - Grade 7 Face Ring,,,,1.0,,,,,,,,,,,
,5.0,SPC,TT4,5-SPC-TT4,Titanium Pipe Grade 2 Face Ring,,,,1.0,,,,,,,,,,,
,5.0,SPC,TT5,5-SPC-TT5,Titanium Pipe - Lixator,,,,1.0,,,,,,,,,,,
,5.0,SPC,TT6,5-SPC-TT6,Titanium Pipe High Pressure,,,,1.0,,,,,,,,,,,
,5.0,SPC,TT7,5-SPC-TT7,Titanium Pipe Grade 7,,,,1.0,,,,,,,,,,,
,5.0,SPC,VF6,5-SPC-VF6,FRP Wrapped PVC Pipe,,,,1.0,,,,,,,,,,,
,,SUP,,,,,,,,,,,,,,,,,,
,5.0,SUP,xxxx,5-SUP-xxxx,Pipe Support Details,,,,1.0,,,,,,,,,,,
,,TAB,,,,,,,,,,,,,,,,,,
,5.0,TAB,XXXX,,Piping and Ductung Bid Tabs,,,,1.0,,,,,,,,,,,
,5.0,TAB,XXXX,,,,,,,,,,,,,,,,,
,,VDR,,,,,,,,,,,,,,,,,,
,5.0,VDR,XXXX,5-VDR-XXXX,Piping and Ducting Vendor Data Requirements,,,,1.0,,,,,,,,,,,
,5.0,VDR,XXXX,,,,,,,,,,,,,,,,,
,,,,,Subtotal    5 - Piping and Layout,,,,110.0,,,,,,,,,,,
,6.0,,,,6 - Insulation and Tracing,,,,,,,,,,,,,,,
,,CAL,,,,,,,,,,,,,,,,,,
,6.0,CAL,XXXX,6-CAL-6130,Insualtion and Tracing Calculations,,,,1.0,,,,,,,,,,,
,6.0,CAL,XXXX,,,,,,,,,,,,,,,,,
,,DTL,,,,,,,,,,,,,,,,,,
,6.0,DTL,XXXX,00 SPC 6 03 607,Insulation and Tracing Detail Drawings,,,,1.0,,,,,,,,,,,
,6.0,DTL,XXXX,00 SPC 6 03 607,,,,,,,,,,,,,,,,
,,LST,,,,,,,,,,,,,,,,,,
,6.0,LST,0001,6-LST-0001,Equipment Insulation,,,,1.0,,,,,,,,,,,
,,PRC,,,,,,,,,,,,,,,,,,
,6.0,PRC,0001,6-PRC-0001,Insulation Design Criteria,,,,1.0,,,,,,,,,,,
,6.0,PRC,0002,6-PRC-0002,Insulation Design and Specification,,,,1.0,,,,,,,,,,,
,,SPC,,,,,,,,,,,,,,,,,,
,6.0,SPC,0001,6-SPC-0001,Isulation Specification,,,,1.0,,,,,,,,,,,
,6.0,SPC,XXXX,6-SPC-0002,,,,,,,,,,,,,,,,
,,,,,Subtotal    6 - Insulation and Tracing,,,,17.0,,,,,,,,,,,
,7.0,,,,"7 - Painting, Coating and Lining",,,,,,,,,,,,,,,
,,GAD,,,,,,,,,,,,,,,,,,
,7.0,GAD,XXXX,,Coating and Lining Plans,,,,1.0,,,,,,,,,,,
,7.0,GAD,XXXX,,,,,,,,,,,,,,,,,
,,LST,,,,,,,,,,,,,,,,,,
,7.0,LST,XXXX,,Coatings List,,,,1.0,,,,,,,,,,,
,7.0,LST,XXXX,,,,,,,,,,,,,,,,,
,,PRC,,,,,,,,,,,,,,,,,,
,7.0,PRC,XXXX,,"Painting, Caoting and Lining Procedures",,,,1.0,,,,,,,,,,,
,7.0,PRC,XXXX,,,,,,,,,,,,,,,,,
,,SPC,,00 SPC 7 01,,,,,,,,,,,,,,,,
,7.0,SPC,0001,7-SPC-0001,Protective Coating,,,,1.0,,,,,,,,,,,
,7.0,SPC,0002,7-SPC-0002,Protective Coating Acid Plants (Shop Applied),,,,1.0,,,,,,,,,,,
,7.0,SPC,0003,7-SPC-0003,Protective Coating Acid Plants (Field Applied),,,,1.0,,,,,,,,,,,
,7.0,SPC,0004,7-SPC-0004,Protective Coating Calcium Hypochlorite Plants,,,,1.0,,,,,,,,,,,
,7.0,SPC,0005,7-SPC-0005,Protective Coating Underground Piping,,,,1.0,,,,,,,,,,,
,,,,,"Subtotal    7- Painting, Coating & Lining",,,,8.0,,,,,,,,,,,
,8.0,,,,8 - Instrumentation and Control,,,,,,,,,,,,,,,
,,CAL,,,,,,,,,,,,,,,,,,
,8.0,CAL,XXXX,,Instrucment Calculations,,,,1.0,,,,,,,,,,,
,8.0,CAL,XXXX,,,,,,,,,,,,,,,,,
,,DST,,,,,,,,,,,,,,,,,,
,8.0,DST,XXXX,,Instrument Data Sheets,,,,1.0,,,,,,,,,,,
,8.0,DST,XXXX,,,,,,,,,,,,,,,,,
,,DTL,,,,,,,,,,,,,,,,,,
,8.0,DTL,XXXX,,Instrument Installaiton Details,,,,1.0,,,,,,,,,,,
,8.0,DTL,XXXX,,,,,,,,,,,,,,,,,
,,GAD,,,,,,,,,,,,,,,,,,
,8.0,GAD,XXXX,,Instrument Location Drawings,,,,1.0,,,,,,,,,,,
,8.0,GAD,XXXX,,,,,,,,,,,,,,,,,
,,LOP,,,,,,,,,,,,,,,,,,
,8.0,LOP,XXXX,,Loop Drawings,,,,1.0,,,,,,,,,,,
,8.0,LOP,XXXX,,,,,,,,,,,,,,,,,
,,LST,,,,,,,,,,,,,,,,,,
,8.0,LST,0001,8-LST-0001,Instrument List,,,,1.0,,,,,,,,,,,
,8.0,LST,0101,8-LST-0101,Mechanical Completion Field Instrumentation Checkout,,,,1.0,,,,,,,,,,,
,8.0,LST,0102,8-LST-0102,DCS Configuration Checkout,,,,1.0,,,,,,,,,,,
,8.0,LST,0103,8-LST-0103,"Alarm, Interlocks, and Setpoints",,,,1.0,,,,,,,,,,,
,8.0,LST,0104,8-LST-0104,Process Control DCS Configuration,,,,1.0,,,,,,,,,,,
,8.0,LST,0110,8-LST-0110,Instrument Process Data List - Analyzer,,,,1.0,,,,,,,,,,,
,8.0,LST,0111,8-LST-0111,Instrument Process Data List - Control Valve,,,,1.0,,,,,,,,,,,
,8.0,LST,0112,8-LST-0112,Instrument Process Data List - Control Damper,,,,1.0,,,,,,,,,,,
,8.0,LST,0113,8-LST-0113,Instrument Process Data List - Flow,,,,1.0,,,,,,,,,,,
,8.0,LST,0114,8-LST-0114,Instrument Process Data List - On/Off Valve,,,,1.0,,,,,,,,,,,
,8.0,LST,0115,8-LST-0115,Instrument Process Data List - Level,,,,1.0,,,,,,,,,,,
,8.0,LST,0116,8-LST-0116,Instrument Process Data List - Pressure,,,,1.0,,,,,,,,,,,
,8.0,LST,0117,8-LST-0117,Instrument Process Data List - Temperature,,,,1.0,,,,,,,,,,,
,8.0,LST,0118,8-LST-0118,Instrument Process Data List - Differential Pressure,,,,1.0,,,,,,,,,,,
,8.0,LST,0119,8-LST-0119,Instrument Process Data List - Pressure Regulator,,,,1.0,,,,,,,,,,,
,8.0,LST,0120,8-LST-0120,Instrument Process Data List - Rotameter,,,,1.0,,,,,,,,,,,
,8.0,LST,0121,8-LST-0121,Instrument Process Data List - Pressure Relief Valve,,,,1.0,,,,,,,,,,,
,,PRC,,,,,,,,,,,,,,,,,,
,8.0,PRC,0001,8-PRC-0001,Plant Instrument Numbering,,,,1.0,,,,,,,,,,,
,8.0,PRC,0002,8-PRC-0002,Instrumentation and Control Design Criteria,,,,1.0,,,,,,,,,,,
,8.0,PRC,0003,8-PRC-0003,Field Instrument Design and Specification,,,,1.0,,,,,,,,,,,
,8.0,PRC,0004,8-PRC-0004,Control System Design and Specification,,,,1.0,,,,,,,,,,,
,8.0,PRC,0005,8-PRC-0005,Instrumentation Systems Field Checkout,,,,1.0,,,,,,,,,,,
,8.0,PRC,0006,8-PRC-0006,DCS Control Function,,,,1.0,,,,,,,,,,,
,8.0,PRC,0007,8-PRC-0007,Control System Design Criteria,,,,1.0,,,,,,,,,,,
,8.0,PRC,0011,8-PRC-0011,Instrument Approval Tag,,,,1.0,,,,,,,,,,,
,8.0,PRC,0014,8-PRC-0014,DCS Field Hardware Checkout,,,,1.0,,,,,,,,,,,
,,REQ,,,,,,,,,,,,,,,,,,
,8.0,REQ,XXXX,,Instrument Requisitions,,,,1.0,,,,,,,,,,,
,8.0,REQ,XXXX,,,,,,,,,,,,,,,,,
,,SCM,,,,,,,,,,,,,,,,,,
,8.0,SCM,XXXX,,Logic Diagrams,,,,1.0,,,,,,,,,,,
,8.0,SCM,XXXX,,,,,,,,,,,,,,,,,
,,SEG,,,,,,,,,,,,,,,,,,
,8.0,SEG,XXXX,,Segment Drawings,,,,1.0,,,,,,,,,,,
,8.0,SEG,XXXX,,,,,,,,,,,,,,,,,
,,SPC,,,,,,,,,,,,,,,,,,
,8.0,SPC,,,Instrument Specificaitons,,,,1.0,,,,,,,,,,,
,8.0,SPC,,,,,,,,,,,,,,,,,,
,,TAB,,,,,,,,,,,,,,,,,,
,8.0,TAB,XXXX,00 LST 8 01 538,Instrument Bid Tabs,,,,1.0,,,,,,,,,,,
,8.0,TAB,XXXX,,,,,,,,,,,,,,,,,
,,VDR,,,,,,,,,,,,,,,,,,
,8.0,VDR,XXXX,00 LST 8 01 538,Instruemnt Vendor Data Requirements,,,,1.0,,,,,,,,,,,
,8.0,VDR,XXXX,,,,,,,,,,,,,,,,,
,,,,,Subtotal    8 - Instrumentation and Control,,,,37.0,,,,,,,,,,,
,9.0,,,,9 - Electrical,,,,,,,,,,,,,,,
,,CAL,,,,,,,,,,,,,,,,,,
,9.0,CAL,XXXX,,Electrical Calculations,,,,1.0,,,,,,,,,,,
,9.0,CAL,XXXX,,,,,,,,,,,,,,,,,
,,DST,,,,,,,,,,,,,,,,,,
,9.0,DST,XXXX,,Motor Data Sheets,,,,1.0,,,,,,,,,,,
,9.0,DST,XXXX,,,,,,,,,,,,,,,,,
,,DTL,,,,,,,,,,,,,,,,,,
