# doc_id=0-SPC-5005 table=1 inline=true
Rev:,Date:,Status:,Prepared By:,Checked By:,Approved By:
8,11-Oct-02,Standard,J. Nelson,D. Dunbar,G. Goto
7,19-Aug-02,Standard,J. Nelson,D. Dunbar,G. Goto
6,2-Aug-02,Standard,J. Nelson,D. Dunbar,G. Goto
