# doc_id=1-LST-0002 discipline=1 revision=R3
Our Scope: B/C/D,Selection,col_2,col_3,col_4,Fluid,Code,Comments,Technology,col_9,col_10
,,,,,"Sulphur Dioxide, Vent Gas",SDV,,,,
,,,,,"Sulphur Dioxide, Solution",SDS,,,,
,,,,,"Sulphur Dioxide, Liquid",SDL,,,,
,,,,,"Sulphur Trioxide, Gas",STG,,,,
B,,,,,,,,,,
,,,,,"Sulphuric Acid, Weak",SAW,<25% Strong Acid ; >50% < 90% chloralkali; < 50% acid recovery,,,
,,,,,"Sulphuric Acid, Strong",SAS,>90% Strong Acid ; >92% chloralkali; >80% acid recovery,,,
,,,,,"Sulphuric Acid, Intermediate",SAI,> 50% < 80% - acid recovery,,,
,,,,,"Sulphuric Acid, Oleum",OLM,,,,
,x,,,,"Sulphuric Acid, Contaminated",SAC,,,,
,,,,,"Sulphuric Acid, Distillate",DSA,,,,
,,,,,"Sulphuric Acid, Drain",SAD,,,,
,,,,,"Sulphuric Acid, Vent",SAV,,,,
,,,,,Toluene,TOU,,,,
,,,,,Tri Sodium Phosphate,TSP,,,,
,,,,,"Water, Acid Dilution",WAD,Strong Acid Dilution Water,,,
,,,,|,"Water, Boiler Feed",WBF,,,,
,,,,,"Water, Boiler Treatment Chemicals",WBT,,,,
,,,,,"Water, Chilled Supply",CHS,,,,
,,,,,"Water, Chilled Return",CHR,,,,
,,,,,"Water, Cooling Supply",WCS,,,,
,,,,,"Water, Cooling Return",WCR,,,,
,,,,,"Water, Cooling Blowdown",WCB,,,,
,,,,,"Water, Cooling Treatment Chemicals",WCT,,,,
,,,,,"Water, Demineralized",WD,,,,
,,,,,"Water, Desalinated",WDL,,,,
,,,,,"Water, Soft",WDS,,,,
,,,,,"Water, Fire",WF,,,,
,,,,,"Water, Hot",WH,,,,
,,,,,"Water, Hypersalinated",WHY,,,,
,,,,,"Water, Potable",WP,,,,
,,,,,Water Process (Mill),WM,,,,
,,,,,"Water, River Supply",WRS,,,,
,,,,,"Water, River Return",WRR,,,,
D,x,,,,"Water, Tempered Supply",WTS,,,,
,,,,,"Water, Tempered Return",WTR,,,,
,,,,,"Water, Sea Supply",WSS,,,,
,,,,,"Water, Sea Return",WSR,,,,
0.0,x,,,,,,,,,
0.0,x,,,,,,,,,
B,,,,,,,,,,
B,,,,,,,,,,
,x,,,,,,,,,
,x,,,,,,,,,
,23,,,,,,,,,
0.0,x,,,,,,,,,
0.0,x,,,,,,,,,
0.0,x,,,,,,,,,
0.0,x,,,,,,,,,
D,x,,,,,,,,,
,x,,,,,,,,,
0.0,x,,,,,,,,,
,x,,,,,,,,,
,x,,,,,,,,,
D,x,,,,,,,,,
0.0,,,,,,,,,,
,x,,,,,,,,,
,x,,,,,,,,,
,x,,,,,,,,,
,x,,,,,,,,,
0.0,x,,,,,,,,,
,23,,,,,,,,,
B,,,,,,,,,,
D,x,,,,,,,,,
0.0,x,,,,,,,,,
D,x,,,,,,,,,
,x,,,,,,,,,
,x,,,,,,,,,
B,,,,,,,,,,
0.0,x,,,,,,,,,
B,,,,,,,,,,
B,,,,,,,,,,
D,x,,,,,,,,,
