# doc_id=0-SUB-22 table=2 inline=true
Item,Amount
Air Travel,"Lowest cost class and routing 
(any fare other than economy requires specific approval)"
Living Expenses,"Typical business accommodation, reasonable expenditures for meals, taxis, etc."
Travel Time,At staff rates for up to 8 hours per day of lost productive working time while travelling between destinations
