# doc_id=9-LST-0729 discipline=9 revision=R0
Items to be checked,
Complete system installation accepted by Aker Kvaerner Chemetics Field Supervisor. (See signed Contractor Field Check List),
General Inspections Required,
Visually inspect paint work,
Alignment of boards,
Hinged door (opening and closing),
Accessibility,
Correct labelling,
Bus Bars,
Clearances,
Jointing,
Taping,
Barriers & supports,
Incoming Switchgear,
"Horizontal draw out ACB
Test operate by hand
Test operate electrically
Withdraw and replace ACB
Test mechanical interlocks
Check auxiliary contacts",
"Fixed ACB
	-	Same tests as above when applicable",
"Main fused disconnect switch (draw out or fixed type)
Same tests as above
Check fuses",
Check Kirk Key interlock,
Check CT’s,
Check metering equipment,
Check protection relays by secondary injection,
