# doc_id=0-LST-6 discipline=0 revision=R0
col_0,col_1,col_2,Rev,No,Item,Material Supply,col_7,col_8,col_9,Installation,col_11,col_12,Notes
x,,,,,,,,,,,,,
x,,,,,,,,,,,,,
x,H,,PIPING,,,,,,,,,,
x,,,,5.1,Process Piping,,,ü,,,,ü,
x,,,,5.2,Gas Ducting,,,ü,,,,ü,
x,,,,5.3,Utility Piping,,,ü,,,,ü,
,S,,,Process Piping,,,,,,,,,
,,,,,Bulk Piping Materials,,,,,,,,
,,,,,Valves and In-Line Specials,,,,,,,,
,S,,,Gas Ducting,,,,,,,,,
,,,,,Duct Spools,,,,,,,,
,,,,,"Valves, Dampers, and Expansion Joints",,,,,,,,
,S,,,Utility Piping,,,,,,,,,
,,,,,Bulk Piping Materials,,,,,,,,
,,,,,Valves and In-Line Specials,,,,,,,,
,,,,,Safety Showers,,,,,,,,
,,,,,Hose Connections at Utility Stations,,,,,,,,
,,,,,Hose Racks at Utility Stations,,,,,,,,
,,,,,Hoses at Utility Stations,,,,,,,,
,,,,,Fire Water Sprinkler Systems,,,,,,,,
,,,,,Portable Fire Extinguishers,,,,,,,,
,,,,,Self Contained Breathing Apparatus,,,,,,,,
,S,,,For Piping Materials Supplied by Kvaerner Chemetics,,,,,,,,,
,,,,,Flange Bolting,,,,,,,,
,,,,,Gaskets,,,,,,,,
,,,,,Jointing Consumables,,,,,,,,
,,,,,"FRP Overlay for PVC, CPVC",,,,,,,,
,,,,,Support Hardware,,,,,,,,
,,,,,"Spring Hangers, Const Load Supports",,,,,,,,
,,,,,Support Minor Steel,,,,,,,,
,,,,,Anchors for Minor Steel Supports,,,,,,,,
,,,,,Grout for Minor Steel Supports,,,,,,,,
,S,,,Spare Parts and Special Tools for Piping Materials Supplied by Kvaerner Chemetics,,,,,,,,,
,,,,,Spare Parts,,,,,,,,
,,,,,Special Tools,,,,,,,,
x,,,,,,,,,,,,,
x,,,,,,,,,,,,,
x,H,,INSULATION,,,,,,,,,,
x,,,,6.1,Piping Insulation,,,ü,,,,ü,
x,,,,6.2,Equipment Insulation,,,ü,,,,ü,
,S,,,For Piping,,,,,,,,,
,,,,,Heat Conservation,,,,,,,,
,,,,,Personnel Protection,,,,,,,,
,,,,,Cold Conservation,,,,,,,,
,,,,,Anti-Sweat,,,,,,,,
,,,,,Steam Heat Tracing,,,,,,,,
,,,,,Electric Heat Tracing,,,,,,,,
,S,,,For Equipment,,,,,,,,,
,,,,,Heat Conservation,,,,,,,,
,,,,,Personnel Protection,,,,,,,,
,,,,,Cold Conservation,,,,,,,,
,,,,,Anti-Sweat,,,,,,,,
,S,,,For Insulation Materials Supplied by Kvaerner Chemetics,,,,,,,,,
,,,,,"Insulation Block, Mats, etc",,,,,,,,
,,,,,"Cements, Mastics, Fill, etc",,,,,,,,
,,,,,Banding and Tie Wire,,,,,,,,
,,,,,Jacketing,,,,,,,,
,,,,,Jacket Banding and Fasteners,,,,,,,,
x,,,,,,,,,,,,,
x,,,,,,,,,,,,,
x,H,,PAINTING AND COATINGS,,,,,,,,,,
x,,,,7.1,Concrete Protection,,,ü,,,,ü,
x,,,,7.2,Structural Steel,,,ü,,,,ü,
x,,,,7.3,Equipment,,,ü,,,,ü,
x,,,,7.4,Piping,,,ü,,,,ü,
,S,,,"Foundations, Ground Floor Slabs and Containment, Elevated Concrete Floors",,,,,,,,,
,,,,,Sumps and Trenches,,,,,,,,
,,,,,"""High Spill"" Areas",,,,,,,,
,,,,,General Protection,,,,,,,,
,S,,,For Structural and Architectural Materials Supplied by Kvaerner Chemetics,,,,,,,,,
,,,,,Priming and First Coat,,,,,,,,
,,,,,Finish Painting,,,,,,,,
,,,,,Touch-up Painting,,,,,,,,
,S,,,For Equipment Supplied Completely Fabricated by Kvaerner Chemetics,,,,,,,,,
,,,,,Priming and First Coat,,,,,,,,
,,,,,Finish Painting,,,,,,,,
,,,,,Touch-up Painting,,,,,,,,
,S,,,For Equipment Supplied by Kvaerner Chemetics Requiring Field Fabrication,,,,,,,,,
,,,,,Priming,,,,,,,,
,,,,,Finish Painting,,,,,,,,
,S,,,For Piping Materials Supplied by Kvaerner Chemetics,,,,,,,,,
,,,,,Priming,,,,,,,,
,,,,,Finish Painting,,,,,,,,
x,,,,,,,,,,,,,
x,,,,,,,,,,,,,
x,H,,INSTRUMENTATION AND CONTROLS,,,,,,,,,,
x,,,,8.1,Field Instrumentation,,,ü,,,,ü,
x,,,,8.2,Field Installation Hardware,,,ü,,,,ü,
x,,,,8.3,Control Systems,,,ü,,,,ü,
x,,,,8.4,Instrument Power Supply System,,,ü,,,,ü,
x,,,,8.5,Instrument Signal Cables,,,ü,,,,ü,
x,,,,8.6,Cable Supports and Hardware,,,ü,,,,ü,
,S,,,Field Installation Hardware,,,,,,,,,
