# doc_id=5-LST-0003-1 discipline=5 revision=R0
col_0,Client Name,col_2,col_3,col_4,"Piping Service List
(Chemical Plant)",col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,"Aker Kvaerner Chemetics
A Division of Aker Kvaerner Canada Inc.",col_16,col_17,col_18,col_19
,,,,,,,,,,,,,,On-Off / Isolation / Tank Drain (plug),V5261,50,200,Valve not for PE tanks.,CA
,,,,"CPVC
(low press, tank overflows, drains)",N,Hydro,No,0,0 - 200,amb - 90,"1034 @ 38
234 @ 98
*",CP3,D,,,,,* Service Limits vary with temp.,CA
,BRF,"Brine, Deionized","25% NaCl
solution","CPVC
(BIX to cells)",D,Service,No,0,0 - 500,amb - 71,"1034 @ 38
234 @ 98
*",CP3,C,On-Off / Isolation (ball),V1353,15,50,"* Service Limits vary with temp.

Use CF1 (FRP wrapped CPVC) where added mechanical protection required on small lines.
Use CF2 (CPVC-FRP dual laminate) for large sizes in large plants, high temp/press.",CA
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2864,100,400,,CA
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3261,20,80,,CA
,,,,,,,,,,,,,,Check (ball - vertical),V4262,25,100,,CA
,,,,,,,,,,,,,,Check (lift - horizontal),V4266,25,100,,CA
,,,,,,,,,,,,,,On-Off / Isolation / Tank Drain (plug),V5261,50,200,Valve not for PE tanks.,CA
,,,,"Titanium w/ Gr. 7 face ring
(short sections at HX's)",D,Service,No,0,200 - 500,60 - 70,621 @ 149,TT3,A,,,,,Ti Gr 16 may be substituted for Gr. 7.,CA
,,,,"FRP
(Chloralkali: Discuss with cell supplier before specifying FRP)",D,Service,No,2.5,0 - 1034,amb - 71,1034 @ 93,FR5,D,On-Off / Isolation (ball),V1261,25,80,,CD
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2864,100,300,,CD
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3261,20,80,,CD
,,,,,,,,,,,,,,Check (ball - vertical),V4262,25,100,,CD
,,,,,,,,,,,,,,Check (lift - horizontal),V4266,25,100,,CD
,,,,,,,,,,,,,,On-Off / Isolation (plug - tank drain),V5261,50,200,,CD
,BRS,"Brine, Sludge","25% NaCl
solution containing solids","FRP
(abrasion not a concern)",N,Hydro,No,2.5,100 - 700,60 - 70,1034 @ 93,FR5,D,On-Off / Isolation / Tank Drain (ball-full port),V1267,25,80,,CA
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-str. thru),V3267,15,80,,CA
,,,,,,,,,,,,,,On-Off / Isolation / Tank Drain (plug),V5261,50,200,Valve not for PE tanks.,CA
,CAS,Caustic,Caustic soda (>40%),"Nickel
(Caustic Evaporation)",N,Hydro,Yes,0,200 - 500,90 - 150,800 @ 204,NI1,E,On-Off / Isolation (ball),V1266,25,80,"Alloys 825 and 600 can be considered as lower cost alternatives to nickel.

Teflon in valves must be virgin Teflon.",CA
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2868,100,400,,CA
,,,,,,,,,,,,,,Sample (ram drain),V9234,25x15,25x15,,CA
,,,,"PVC
(Caustic Head Tank Overflow)",N,Hydro,Yes,0,atm,amb - 40,"1034 @ 32
345 @ 60
*",PV6,C,,,,,* Service Limits vary with temp.,CA
,,,,"PP-FRP dual laminate
(Fe pick-up IS a concern)",N,Hydro,Yes,0,200 - 500,amb - 90,607 @ 95,PF1,C,On-Off / Isolation (b'fly),V2864,100,400,Teflon in valves must be virgin Teflon.,CA
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3261,20,80,,CA
,,,,,,,,,,,,,,Check (ball - vertical),V4262,25,100,,CA
,,,,,,,,,,,,,,Check (lift - horizontal),V4267,25,100,,CA
,,,,"304L Stainless Steel
(Fe pick-up NOT a concern)",N,Hydro,Yes,0,200 - 500,amb - 90,1034 @ 204,S42 *,B,On-Off / Isolation (ball),V1237,25,80,"* S42 socket weld construction in caustic service is limited to 150oC or less.

Teflon in valves must be virgin Teflon.",CA
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1337,15,50,,CA
,,,,,,,,,,,,,,Control or On-Off (b'fly),V2836,100,350,,CA
,,,,,,,,,,,,,,Check (swing),V4231,25,150,,CA
,,,,,,,,,,,,,,Check (swing),V4331,25,50,,CA
,,,,,,,,,,,,,,Throttling (globe),V8331,15,50,,CA
,,,,,,,,,,,,,,Drain /Sampling (ram),V9233,25x15,25x15,V9233 to be specified with piston extension where required.,CA
,CAW,Caustic,Caustic Soda (<40%),"Nickel
(Caustic Evaporation, short sections at Catholyte HX)",N,Hydro,Yes,0,200 - 500,90 - 150,800 @ 204,NI1,E,On-Off / Isolation (ball),V1266,25,80,"Alloys 825 and 600 can be considered as lower cost alternatives to nickel.

Teflon in valves must be virgin Teflon.",CA
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2868,100,400,,CA
,,,,"Polypropylene
(cell room low press, drain lines)",N,Hydro,Yes,0,0 - 150,80 - 90,"1070 @ 30
140 @ 95
*",PP6,C,On-Off / Isolation (b'fly),V2864,100,400,"* Service Limits vary with temp.

Teflon in valves must be virgin Teflon.",CA
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3261,20,80,,CA
,,,,,,,,,,,,,,On-Off / Isolation / Tank Drain (plug),V5261,50,200,Valve not for PE tanks.,CA
,,,,"PP-FRP dual laminate
(cell room high press)",N,Hydro,Yes,0,200 - 400,80 - 90,607 @ 95,PF1,C,On-Off / Isolation (b'fly),V2864,100,400,Teflon in valves must be virgin Teflon.,CA
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3261,20,80,,CA
,,,,,,,,,,,,,,Check (ball - vertical),V4262,25,100,,CA
,,,,,,,,,,,,,,Check (lift - horizontal),V4267,25,100,,CA
,,,,,,,,,,,,,,On-Off / Isolation / Tank Drain (plug),V5261,50,200,Valve not for PE tanks.,CA
,,,,"304L Stainless Steel
(outside cellroom, caustic storage and distribution)",N,Hydro,Yes,0,0 - 400,amb - 90,1034 @ 204,S42,B,On-Off / Isolation (ball),V1237,25,80,Teflon in valves must be virgin Teflon.,CA
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1337,15,50,,CA
,,,,,,,,,,,,,,Control or On-Off (b'fly),V2836,100,350,,CA
,,,,,,,,,,,,,,Check (swing),V4231,25,150,,CA
,,,,,,,,,,,,,,Check (swing),V4331,25,50,,CA
,,,,,,,,,,,,,,Check (swing),V4732,80,200,,CA
,,,,"PVC
(low press tank overflows, drains - low temp)",N,Hydro,Yes,0,atm,amb - 60,"1034 @ 32
345 @ 60
*",PV6,C,,,,,"* Service Limits vary with temp.
Use VF6 for 50mm and smaller lines where mechanical protection required",CA
,,,,"CPVC
(low press tank overflows, drains - high temp)",N,Hydro,Yes,0,atm,60 - 90,"1034 @ 38
234 @ 98
*",CP3,C,,,,,* Service Limits vary with temp.,CA
,,,,"PTFE-lined steel
(where NaOCl may be present)",N,Hydro,Yes,0,200 - 400,amb - 90,"1724 @ 38
1275 @ 232
*",TC3 (or TC4),A,On-Off / Isolation (diaphragm-weir),V3265,20,80,* Service LImits vary with temp.,SC
,,,,,,,,,,,,,,Check (45o ball),V4265,25,100,,SC
,,,,,,,,,,,,,,On-Off / Isolation / Tank Drain (plug),V5261,25,100,,SC
,CCC,Chlorine Contaminated Condensate,Water containing dissolved chlorine,CPVC,N,Hydro,No,0,0- 21,60 - 90,"1034 @ 38
234 @ 98
*",CP3,C,,,,,"* Service Limits vary with temp.

Use CF1 (FRP wrapped CPVC) where added mechanical protection required on small lines.",CA
,,,,"FRP
(on H2 stack drain)",N,Hydro,No,2.5,atm,55,1034 @ 93,FR5,C,On-Off / Isolation (diaphragm-weir),V3253,15,80,,SC
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3265,20,80,,SC
,,,,"FRP wrapped CPVC 
(mostly Hydrogen lines)",N,Hydro,No,0,0 - 150,0 - 90,"1034 @ 38
234 @ 98
*",CF1,C,On-Off / Isolation (diaphragm-weir),V3265,25,50,"* Service Limits vary with temp.

Use CF1 for 50mm and smaller lines where mechanical protection required.",CD
,,,,"PVC
(low press/temp)",N,Hydro,No,0,0 - 150,0 - 60,"1034 @ 32
345 @ 60
*",PV6,D,On-Off / Isolation (diaphragm-weir),V3265,25,50,"* Service Limits vary with temp.

Use VF6 for 50mm and smaller lines where mechanical protection required.",CD
,,,,"PTFE-Lined Steel
(from process lines that are downstream of flame arrestors)",N,Hydro,No,0,0 - 150,0 - 200,"1724 @ 38
1275 @ 232
*",TC3 (or TC4),A,On-Off / Isolation (diaphragm-weir),V3265,25,50,* Service Limits vary with temp.,CD
,CDG,Chlorine Dioxide Gas,,Titanium w/ Gr. 2 face ring,N,Hydro,No,0.0,FV - 100,"amb - 77
(during ClO2 decomposition temp can go to 170oC)",621 @ 149,TT4,A,On-Off / Isolation (diaphragm-weir),V3265,25,80.0,,CD
,,,,,,,,,,,,,,Sample,V6153,6.0,,,CD
,,,,,,,,,,,,,,On-Off / Isolation / Tank Drain (ball-full port),V1267,50,80.0,,CD
,CDL,Chlorine Dioxide Solution,,FRP,N,Hydro,No,2.5,FV - 750,amb - 25,1034 @ 93,FR5,C,On-Off / Isolation (b'fly),V2864,100,200,,CD
,,,,"FRP 
75# Press.",N,Hydro,No,2.5,FV - 500,amb - 25,"516 @ 82
FV @ 82 (≤DN80)
*",FR12,C,On-Off / Isolation (b'fly),V2864,100,200,"* Service limits vary with diameter, review requirements against sizes required.",CD
,,,,,,,,,,,,,,On-Off / Isolation / Tank Drain (plug),V5261,50,100,,CD
,,,,,,,,,,,,,,Check (lift - horizontal),V4266,25,100,,CD
,,,,,,,,,,,,,,Check (ball - vertical),V4262,,,,CD
,,,,"FRP 
25# Press. (overflows)",N,Hydro,No,2.8,FV - 150,amb - 25,172 @ 93,FR13,C,,,,,,CD
,CGD,"Chlorine, Gas Dry",,Carbon Steel,N,Hydro + Pneum (see 5-SPC-0101),No,3.0,0 - 1250,amb - 70,1379 @ 204,CS11,E,On-Off / Isolation (ball-vented),V1212,25.0,80.0,"No Titanium allowed for dry chlorine service.
Materials must be cleaned, dried, packaged for dry chlorine service.
Note CI Class I service limit is 1034 kPag / 149oC.  Review materials and ratings per CI Pamphlet 6 where higher pressure is required.
V1212 is Class 150 rated, review required rating before using.",CA
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2816,100,300,V2816 requires Cl 300 connecting flanges.  Not for low temperature service.,CA
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2868,100,300,"V2868 is lined valve with ductile iron body, suitable for CI Class 1 service only.  Valve is 1034 kPag CWP rated, review required rating before using.",CA
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3261,20,80,"V3261 is 1034 kPag CWP rated, review required rating before using.",CA
,,,,,,,,,,,,,,Check (lift - horizontal),V4212,25,150,"V4212 requires Cl 300 connecting flanges, used for commonality with low temp Cl2 service.",CA
,,,,,,,,,,,,,,On-Off / Isolation (globe-gland),V8212,15,50,"V8212 requires Cl 300 connecting flanges, used for commonality with low temp Cl2 service.",CA
,,,,,,,,,,,,,,On-Off / Isolation (globe-bellows),V8214,15,150,"V8214 requires Cl 300 spec break flanges, used for commonality with low temp Cl2 service.",CA
,,,,"Carbon Steel
(low temperature)",N,Hydro + Pneum (see 5-SPC-0101),No,3.0,0 - 1250,-34 to 45,"2068 @ 149
2068 @ -46",CS12,E,Check (lift - horizontal),V4212,25,150,"No Titanium allowed for dry chlorine service.
Materials must be cleaned, dried, packaged for dry chlorine service.
Low temperature steels are required or piping, valves, etc (see CI Pamphlet 6).",CA
,,,,,,,,,,,,,,On-Off / Isolation (globe-cylinder valve),V8191,15,40,,CA
,,,,,,,,,,,,,,On-Off / Isolation (globe-gland),V8212,15,150,,CA
,,,,,,,,,,,,,,On-Off / Isolation (globe-bellows),V8214,15,50,,CA
,,,,PTFE-Lined Steel (Dry Chlorine to sodium chlorate reactors downstream of double check valve),N,Hydro + Pneum (see 5-SPC-0101),No,0,0 - 1034,amb - 70,"1724 @ 38
1275 @ 232
*",TC3 (or TC4),A,Check (45o ball),V4265,25,100,* Service Limits vary with temp.,CD
,,,,,,,,,,,,,,On-Off / Isolation (plug-vented),V5262,25,100,,
