# doc_id=5-SPC-0004 discipline=5 revision=R1
col_0,Client Name,col_2,col_3,col_4,Specification,col_6,col_7,col_8,col_9,col_10,"Aker Kvaerner
Chemetics
A Division of Aker Kvaerner Canada Inc.",col_12,col_13,col_14,col_15
,V3258,Diaphragm,"Flanged B16.5
150# FF",Plastic,"150#, FF, weir type diaphragm valve.  PVC body.  EPDM diaphragm.  Indicating stem.",Chemline,DVAxxxVF,Reduced,,CWP150,15 to 250,,,Chemline,DVAxxxVF
,V3259,Diaphragm,"Flanged B16.5
150# FF",Plastic,"150#, FF, weir type diaphragm valve.  CPVC body, Viton diaphragm.  Indicating stem.",Chemline,DVCxxxVF,Reduced,,CWP150,15 to 150,,,Chemline,DVCxxxVF
l,V3261,Diaphragm,"Flanged B16.5
150# RF",Plastic Lined,"150#, weir type diaphragm valve.  Tefzel (ETFE) lined ductile iron body, epoxy coated.  EPDM backed teflon diaphragm.  Indicating stem.",,,Reduced,,,20 to 200,,,ITT,2559-TM/R2-943
l,V3262,Diaphragm,"Flanged B16.5
150# RF",Plastic Lined,"150#, weir type diaphragm valve. Polypropylene lined Ductile Iron body, epoxy coated.  EPDM diaphragm. Indicating stem.",,,Reduced,,,20 to 200,,,ITT,2558-M-943
,V3264,Diaphragm,"Flanged B16.5
150# RF",Plastic Lined,"150#, weir type diaphragm valve.  Hard rubber lined cast iron body, epoxy coated.  EPDM diaphragm.  Indicating stem.",Saunders,3422-11-E,Reduced,,,20 to 350,,,Saunders,3422-11-E
l,V3265,Diaphragm,"Flanged B16.5
150# RF",Plastic Lined,"150#, weir type diaphragm valve.  PFA lined cast or ductile iron body, epoxy coated.  EPDM backed teflon diaphragm.  Indicating stem.",,,Reduced,,,20 to 150,,,ITT,2556-TM-903
,V3266,Diaphragm,"Flanged B16.5
150# RF",Plastic Lined,"150#, weir type diaphragm valve.  Hard rubber lined cast iron body, epoxy coated.  EPDM backed teflon diaphragm.  Indicating stem.",Saunders,3422-11-P4,Reduced,,,20 to 250,,,Saunders,3422-11-P4
,V3267,Diaphragm,"Flanged B16.5
150# RF",Plastic Lined,"150#, straight thru diaphragm valve.  Hard rubber lined cast iron body, epoxy coated.  EPDM diaphragm.  Indicating stem.",Saunders,5622-11-KE,Reduced,,,25 to 350,,,Saunders,5622-11-KE
,V3352,Diaphragm,Socket,Plastic,"Socket end, weir type diaphragm valve.  PVC body. EPDM backed Teflon diaphragm.  Indicating stem.",Chemline,DVAxxxPU,Reduced,,CWP150,15 to 50,,,Chemline,DVAxxxPU
,V3353,Diaphragm,Socket,Plastic,"Socket end, weir type diaphragm valve. CPVC body.  EPDM backed Teflon diaphragm.  Indicating stem.",Chemline,DVCxxxPU,Reduced,,CWP150,15 to 50,,,Chemline,DVCxxxPU
,V3354,Diaphragm,Socket,Plastic,"Socket end, weir type diaphragm valve. PVC 
body, Viton diaphragm, Indicating stem.",Chemline,DVAxxxVU,Reduced,,CWP150,15 to 50,,,Chemline,DVAxxxVU
,V3355,Diaphragm,Socket,Plastic,"Socket end, weir type diaphragm valve. CPVC 
body, Viton diaphragm, Indicating stem.",Chemline,DVCxxxVU,Reduced,,CWP150,15 to 50,,,Chemline,DVCxxxVU
,V3356,Diaphragm,Socket,Plastic,"Socket end, weir type diaphragm valve.  PVC body, EPDM diaphragm.  Indicating stem.",Chemline,DVAxxxEU,Reduced,,CWP150,15 to 50,,,Chemline,DVAxxxEU
,V3357,Diaphragm,Socket,Plastic,"Socket end, weir type diaphragm valve.  CPVC body, EPDM diaphragm.  Indicating stem.",Chemline,DVCxxxEU,Reduced,,CWP150,15 to 50,,,Chemline,DVCxxxEU
,V3451,Diaphragm,Butt,Plastic,Weir type diaphragm valve.  Polypropylene body. EPDM backed Teflon diaphragm.  Butt weld connections.  Indicating stem.,Chemline,14BxxxPB,Reduced,,CWP150,15 to 50,,,Chemline,14BxxxPB
,V3455,Diaphragm,Butt,Plastic,Weir type diaphragm valve.  Polypropylene body.  EPDM diaphragm.  Butt weld connections.  Indicating stem.,Chemline,14BxxxEB,Reduced,,CWP150,15 to 50,,,Chemline,14BxxxEB
,V4115,Lift Check,Screwed FNPT,Carbon Steel,"Lift check valve, spring assisted.  Carbon steel body, stainless steel trim, teflon seat.  Screwed connections.  UL listed and FM approved for LP or NG service.",Vogt,,,,,,,,,
,V4121,Swing Check,Screwed FNPT,Iron,Swing check valve.  Malleable iron body and disc.  Screwed connections.,Jenkins,588J,Full,,125.0,50 to 100,,,Jenkins,588J
,V4131,Swing Check,Screwed FNPT,Stainless Steel,Class 150 swing check valve.  CF8M stainless steel body and disc.  Screwed connections.,Bonney Forge,HL6-8-T,,"ASME
B16.34",150.0,6 to 50,,,Kitz,150UOM
,V4132,Lift Check,Screwed FNPT,Stainless Steel,Class 800 Lift check valve.  316 stainless steel body and disc.  Screwed connections.,Bonney Forge,HL4-8-T,,"ASME
B16.34",800.0,6 to 50,,,Bonney Forge,HL4-8-T
,V4141,Swing Check,Screwed FNPT,Forged Steel,"Class 800 swing check valve. A105 forged steel body.  13% chrome trim, stellite seat. Screwed connections.",Bonney Forge,HL4-1-T,,"ASME
B16.34",800.0,6 to 50,,,Vogt,S701
,V4142,Lift Check,Screwed FNPT,Forged Steel,"Class 800 lift check valve. A105 forged steel body.  13% chrome trim, stellite seat. Screwed connections.",Bonney Forge,HL4-1-T,,"ASME
B16.34",800.0,6 to 50,,,Bonney Forge,HL4-1-T
,V4191,Excess Flow,Screwed FNPT,Special,The Chlorine Institute Excess Flow Valve.  Monel Construction.  Cleaned and dried for chlorine service.,,,,,,,,,,
,V4211,Swing Check,"Flanged B16.5
150# RF",Carbon Steel,"Class 150, RF, cast steel, swing check valve.  13% chrome trim, stellite seat.  Bolted cap.",Kitz,150SCOS,,"ASME
B16.34",150.0,50 to 750,,,Kitz,150SCOS
l,V4212,Lift Check,"Flanged B16.5
300# RF",Carbon Steel,"Class 300 RF, lift check valve.  A352LCC carbon steel body, Hastelloy-C disc, Stellite seat. Filled TFE disc seat, steel (preferred) or stainless steel spring, bolted bonnet. Cleaned and dried for chlorine service.",Vogt,,,,,,,,Vogt,
l,V4213,Lift Check,"Flanged B16.5
150# RF",Carbon Steel,"Class 150, RF, lift check valve.  A352LCC carbon steel body, Hastelloy-C disc, Stellite seat. Filled TFE disc seat, steel (preferred) or stainless steel spring, bolted bonnet. Cleaned and dried for chlorine service.",Vogt,,,,,,,,Vogt,
l,V4214,Swing Check,"Flanged B16.5
300# RF",Carbon Steel,"Class 300, RF, cast steel, swing check valve.  13% chrome trim, stellite seat.  Bolted cap.",Kitz,150SCOS,,"ASME
B16.34",300.0,50 to 200,,,,
,V4221,Swing Check,"Flanged B16.1 
125# FF",Cast Iron,"Class 125, FF, swing check valve.  All iron construction.",Jenkins,590J,,,125.0,50 to 300,,,Jenkins,590J
,V4231,Swing Check,"Flanged B16.5
150# RF",Stainless Steel,"Class 150, RF, swing check valve.  CF8M or 316 Stainless steel construction.",Kitz,150UOAM,,"ASME
B16.34",150.0,40 to 500,,,Kitz,150UOAM
,V4232,Lift Check,"Flanged B16.5
150# RF",Stainless Steel,"Class 150 RF, lift check valve.  CF8M or 316 Stainless steel construction.",Kitz,150UNAM,,,150.0,15 to 25,,,Kitz,150UNAM
,V4233,Lift Check,"Flanged B16.5
150# RF",Stainless Steel,"150# Flanged lift spring assisted check valve, 316 Stainless steel body and internals, Teflon seat.  Vertical or horizontal installation.",Vogt,,,,,,,,Vogt,
l,V4242,Swing Check,"Flanged B16.5
300# RF",Forged Steel,"Class 300, RF, forged steel, swing check valve, 13% chrome trim, stellite seat.  Bolted cap.",Vogt,,,ASME B16.34,300.0,15 to 50,,,Vogt,
,V4252,Ball Check,"Flanged B16.1
125# FF",Plastic,"150#, FF, Flanged ball check valve.  PVC body and ball. EPDM seals.",Chemline,BCAxxxEF,,,CWP150,15 to 100,,,Chemline,BCAxxxEF
,V4253,Ball Check,"Flanged B16.1
125# FF",Plastic,"150#, FF, Flanged ball check valve.  CPVC body and ball. EPDM seals.",Chemline,BCCxxxEF,,,CWP150,15 to 150,,,Chemline,BCCxxxEF
,V4256,Ball Check,"Flanged B16.1
125# FF",Plastic,"150#, FF, Flanged ball check valve.  PVC body and ball. Viton seals.",Chemline,BCAxxxVF,,,CWP150,15 to 150,,,Chemline,BCAxxxVF
,V4257,Ball Check,"Flanged B16.1
125# FF",Plastic,"150#, FF, Flanged ball check valve.  CPVC body and ball. Viton seals.",Chemline,BCCxxxVF,,,CWP150,15 to 150,,,Chemline,BCCxxxVF
,V4258,Swing Check,"Flanged B16.5
150# FF",Plastic,"150#, FF, Swing Check Valve, PVC Body and Disc, EPDM Seat, Bolted Bonnet.",Chemline,SCAxxxE,Full,,CWP150,20 to 200,,,Chemline,SCAxxxE
,V4262,Ball Check,"Flanged B16.5
150# RF",Plastic Lined,"150#, Flanged ball check valve.  PFA lined ductile iron body.  Solid PTFE ball.",Durco,ARV2-PFA,Full,,150.0,15 to 300,,,Atomac,ARV2-PFA
,V4265,Ball Check,"Flanged B16.5
150# RF",Plastic Lined,"150#, Flanged ball check valve. Y-type.  FEP lined ductile iron body.  Solid PTFE ball.",Durco,ARL-FEP,Full,,150.0,25 to 80,,,Atomac,ARL-FEP
,V4266,Lift Check,"Flanged B16.5
150# RF",Plastic Lined,"150#, Flanged lift check valve.  PVDF lined cast steel body.  PTFE Poppet.  Horizontal installation.",Dow,355-PVDF,Reduced,,150.0,25 to 200,,,Crane Resistoflex,355-PVDF
l,V4267,Lift Check,"Flanged B16.5
150# RF",Plastic Lined,"Class 150, Flanged lift check valve.  PFA lined cast steel body.  PTFE or PFA poppet.  Horizontal installation.",,,Full,,150.0,25 to 100,,,Crane Resistoflex,355-PFA
l,V4268,Lift Check,"Flanged B16.5
150# RF",Plastic Lined,"150#, Flanged check valve.  PVDF lined cast steel body.  PTFE Poppet.  Vertical installation.",Dow,356-PVDF,Reduced,,150.0,25 to 200,,,Crane Resistoflex,356-PVDF
,V4331,Swing Check,Socket,Stainless Steel,"Class 800 Swing Check valve, 316 Stainless Steel construction, Stellite Seat.",Vogt,SWS718,Reduced,"ASME
B16.34",800.0,15 to 50,,,Vogt,SWS718
,V4332,Lift Check,Socket,Stainless Steel,"Class 800 Spring assisted Lift Check valve, 316 Stainless Steel construction, metal to metal seat, Inconel spring.",Vogt,SW718,Reduced,"ASME
B16.34",800.0,15 to 50,,,Vogt,SW718
,V4341,Swing Check,Socket,Forged Steel,"Class 800 Swing Check valve.  Forged Steel body, 13% chrome trim, stellite seat.  Bolted bonnet.  Socket weld connection.",Vogt,SWS701,Reduced,"ASME
B16.34",800.0,15 to 50,,,Vogt,SWS701
,V4342,Lift Check,Socket,Forged Steel,"Class 800 Lift Check valve.  Forged Steel body, 13% chrome trim, stellite seat.  Bolted cap.  Socket weld connections.",Vogt,SW701,Reduced,"ASME
B16.34",800.0,15 to 50,,,Vogt,SW701
,V4352,Ball Check,Socket,Plastic,Socket end ball check valve.  PVC body and ball. EPDM seals.  Double union construction.,Chemline,BTAxxxES,,,"CWP 150
CWP 100","15 to 50
65 to 100",,,Chemline,BTAxxxES
,V4353,Ball Check,Socket,Plastic,Socket end ball check valve.  CPVC body and ball. EPDM seals.  Double union construction.,Chemline,BTCxxxES,,,"CWP 150
CWP 100","15 to 50
65 to 100",,,Chemline,BTCxxxES
,V4356,Ball Check,Socket,Plastic,Socket end ball check valve.  PVC body and ball. Viton seals.  Double union construction.,Chemline,BTAxxxVS,,,"CWP 150
CWP 100","15 to 50
65 to 100",,,Chemline,BTAxxxVS
,V4357,Ball Check,Socket,Plastic,Socket end ball check valve.  CPVC body and ball.  Viton seals.  Double union construction.,Chemline,BTAxxxVS,,,"CWP150
CWP 100","15 to 50
65 to 100",,,Chemline,BTAxxxVS
,V4411,Swing Check,Buttweld,Carbon Steel,"Class 600 swing check valve, cast alloy steel  A216 Gr WCB, 13% Cr trim, stellite seats bolted cover. ASME B16.25 buttweld connection (connecting pipe schedule to be specified with order).",,,,"ASME
B16.34",600.0,80 to 400,,,Kitz,W600 SCOS
,V4412,Swing Check,Buttweld,Carbon Steel,"Class 900 swing check valve, cast alloy steel  A216 Gr WCB, 13% Cr trim, stellite seats bolted cover. ASME B16.25 buttweld connection (connecting pipe schedule to be specified with order).",,,,"ASME
B16.34",900.0,80 to 400,,,Kitz,W900 SCOS
,V4481,Swing Check,Buttweld,Alloy Steel,"Class 900 swing check valve, cast alloy steel  A217 Gr WC6, 13% Cr trim, full stellite seats (disc & body), bolted cover. ASME B16.25 buttweld connection (connecting pipe schedule to be specified with order).",,,,"ASME
B16.34",900.0,80 to 400,,,Kitz,W900 SCOS6CY
,V4712,Swing Check,"Wafer
B16.5 150#",Carbon Steel,"Class 150, Wafer type, swing check valve.  Carbon Steel body. 316 Stainless Steel internals.  Metal seat.",Hy-Grade,T01-xxG-10AFX,Full,,150.0,25 to 1200,,,Hy-Grade,T01-xxG-10AFX
,V4713,Swing Check,"Wafer
B16.5 150#",Carbon Steel,"Class 150, Wafer type, swing check valve.  Carbon Steel body, 316 stainless steel internals, EPDM seat.",Hy-Grade,T01-xxG-9AFX,Full,,150.0,25 to 1200,,,Hy-Grade,T01-xxG-9AFX
,V4721,Swing Check,"Flanged B16.5
150# RF",Cast Iron,"Class 125, Wafer type, swing check valve.  Cast iron body, 316 stainless steel internals, Buna N seat.",Ritepro,12-C-B-T,Full,,125.0,50 to 1100,,,Ritepro,12-C-B-T
,V4732,Swing Check,"Wafer
B16.5 150#",Stainless Steel,"Class 150, Wafer type, swing check valve. 316 Stainless Steel body and disc, Metal seats.",Hy-Grade,T01-xxG-10FFX,Full,,150.0,25 to 1200,,,Hy-Grade,T01-xxG-10FFX
,V4733,Swing Check,"Wafer
B16.5 150#",Stainless Steel,"Class 150, Wafer type, swing check valve. 316 Stainless Steel body and disc, EPDM seat.",Hy-Grade,T01-xxG-9FFX,Full,,150.0,25 to 1200,,,Hy-Grade,T01-xxG-9FFX
,V4734,Swing Check,"Wafer
B16.5 150#",Stainless Steel,"Class 150 Wafer type, swing check valve. 316 Stainless Steel body and disc, Teflon seat.",Hy-Grade,T01-xxG-8FFX,Full,,150.0,25 to 1200,,,Hy-Grade,T01-xxG-8FFX
,V4751,Swing Check,"Wafer
B16.5 150#",Plastic,"150#, Wafer type, swing check valve.  Polypropylene body and disc. Viton seals.Requires Spacer",Chemline,WPBxxxV,Reduced,,CWP150,50 to 300,,,Chemline,WPBxxxV
,V4752,Swing Check,"Wafer
B16.5 150#",Plastic,"150# Wafer type, swing check valve.  PVC body and disc. EPDM seat. Requires Spacer",Chemline,WPAxxxE,Reduced,,CWP150,50 to 300,,,Chemline,WPAxxxE
,V4754,Swing Check,"Wafer
B16.5 150#",Plastic,"150#, Wafer type, swing check valve.  PVDF body and disc.  Viton seals. Requires Spacer",Chemline,WPKxxxV,Reduced,,CWP150,50 to 300,,,Chemline,WPKxxxV
,V4756,Swing Check,"Wafer
B16.5 150#",Plastic,"150# Wafer type, swing check valve.  PVC body and disc. Viton seat.",Chemline,WPAxxxV,Reduced,,CWP150,50 to 300,,,Chemline,WPAxxxV
,V4757,Swing Check,"Wafer
B16.5 150#",Plastic,"Wafer type swing check valve. Two piece glass reinforced PTFE Teflon body and disc, stainless steel phenolic coated sleeve.",Hy-Grade,Pxx-GTT-G1,Reduced,,CWP200,50 to 300,,,Hy-Grade,Pxx-GTT-G1
,V4763,Swing Check,"Wafer
B16.5 150#",Plastic Lined,Wafer type swing check valve. PFA lined ductile Iron Body and  Disc,Xomox,070,Reduced,,CWP 250,80 to 300,,,Xomox,070
,V4767,Swing Check,"Wafer
B16.5 150#",Plastic Lined,150# Wafer type swing check valve.  PFA lined ductile iron body and disc.,Xomox,070,Reduced,,150**,80 to 300,,,Xomox,070
,V4781        Was 4711,Lift Check,"Wafer
B16.5 150#",Alloy,"150#, Wafer type lift check valve.  Monel body and disc.",Noble,Condor-M4,Reduced,,150.0,15 to 250,,,Noble,Condor-M4
,V5115,Plug,Screwed FNPT,Carbon Steel,"Screwed plug valve.  Carbon steel body and trim, bolted bonnet, wrench operated.  Tapered and lubricated plug.  UL listed and FM approved for LP or NG service.",Nordstom,,Reduced,API 607,,15 to 50,,,,
,V5215,Plug,"Flanged B16.5
150# RF",Carbon Steel,"Class 150 flanged plug valve.  Carbon steel body and trim, bolted bonnet, wrench operated.  Tapered and lubricated plug.  UL listed and FM approved for LP or NG service.",Nordstom,,Reduced,API 607,150.0,50 to 200,,,,
l,V5216,Plug,"Flanged B16.5
150# RF",Carbon Steel,"Class 150 RF, Plug valve, Dynamic balance, metal to metal seats, CS body and trim, Graphoil stem packing. Gear operator DN150 and above.",,,Reduced,,150.0,25 to 200,,,Nordstrom,NVI-1945
l,V5231,Plug,"Flanged B16.5
150# RF",Stainless Steel,"Class 150, RF, Plug valve, 304 stainless steel body c/w PTFE sleeve, 304 stainless steel plug.  DN15 to DN150 lever operated, DN200 and larger gear operated.",,,Reduced,,150.0,15 to 200,,,,
l,V5232,Plug,"Flanged B16.5
150# RF",Stainless Steel,"Class 150, RF, Plug valve, 304 stainless steel body c/w PTFE sleeve, 304 stainless steel vented (drilled) plug.  DN15 to DN150 lever operated, DN200 and larger gear operated.  Note: Valve to be installed so that when closed the ball is vented to upstream side.",,,Reduced,,150.0,15 to 200,,,,
,V5261,Plug,"Flanged B16.5
150# RF",Plastic Lined,"150#, Flanged plug valve.  PTFE or PFA lined ductile iron body and plug.",Durco,T-41,Reduced,,150.0,15 to 300,,,Durco,T-41
,V5262,Plug,"Flanged B16.5
150# RF",Plastic Lined,"150#, Flanged plug valve.  PTFE or PFA lined ductile iron body and plug.  Plug to be vented (drilled) if required by service.  Note: *Valve to be installed so that when closed the ball is vented to upstream side.",Durco,T-41-V,Reduced,,150.0,15 to 300,,,Durco,T-41-V
,V5263,Plug,"Flanged B16.5
150# RF",Plastic Lined,"150#, Flanged plug valve.  PFA lined cast iron body.  PFA lined steel plug. Viton Seals.  Full bore.",Technova,CPL150-B1L1E1C1-01,Full,,150**,15 to 100,,,Technova,CPL150-B1L1E1C1-01
,V5264,Plug (3-way),"Flanged B16.5
150# RF",Plastic Lined,"150#, Flanged 3-way plug valve.  FEP or PFA lined ductile iron body and plug.",Xomox,031-PFA,Multi,,150.0,25 to 100,,,Xomox,031-PFA
l,V5266,Plug,"Flanged B16.5
150# RF",Plastic Lined,"Class 150 RF, Plug valve, PTFE sleeve and diaphragm, SS plug, CS body, Graphoil stem packing. Gear operator DN100 and above.",,,Reduced,,150.0,15 to 450,,,Durco,G411 DS/D4
,V5286,Plug (3-way),"Flanged B16.5
300# RF",Alloy,"300#, RF, 3-way plug valve.  Monel body, plug and stem. PTFE sleeve and seals.  Cleaned and dried for chlorine service.",Durco,MG431-E/H-x-DNZ-DMDM,Multi,,300.0,15 to 250,,,Durco,MG431-E/H-x-DNZ-DMDM
,V6131,Needle,Screwed FNPT,Stainless Steel,"5000 psi, integral bonnet needle valve.  Straight pattern. 316 Stainless steel construction.  Teflon seals.",Vogt,,,,,,,,Vogt,
,V6153 Was 6151,Needle,Screwed FNPT,Plastic,"Screwed, angle body needle valve.  CPVC body and stem.  PTFE seal (for application as sample valve see ""Equivalence sheet).",Chemline,NACxxx,Reduced,,CWP150,6 to 15,,,Chemline,NACxxx
,V6154,Needle,Screwed FNPT,Plastic,"Screwed, globe body needle valve.  PVC body, bonnet and stem.  PTFE seal.",Chemline,NAAxxx,Reduced,,CWP150,6 to 15,,,Chemline,NAAxxx
,V6251,Needle,Flanged B16.5 RF,Plastic,"150#, Flanged throttling valve.  Polypropylene construction, Hypalon seals, PTFE bellows.",Chemline,Exner,Reduced,,CWP150,15 to 150,,,Chemline,Exner
,V6256,Needle,Flanged B16.5 RF,Plastic,"150#, Flanged throttling valve.  PVC construction, Viton seals.",Chemline,Exner,Reduced,,CWP150,15 to 150,,,Chemline,Exner
,V6xxx,Needle,,,For stong sulphuric acid sampling,,,,,,15,,,,
,V7131,Gate,Screwed FNPT,Stainless Steel,"Class 150, RF, gate valve. CF3M or  316 stainless steel body, 316 stainless steel disc, OS&Y, bolted bonnet.",Kitz,AK150UMM,Full,API 600,150.0,15 to 50,,,Kitz,AK150UMM
,V7141,Gate,Screwed FNPT,Forged Steel,"Class 800, forged steel gate valve.  Solid disc, 13% chrome trim, stellite seats.  OS&Y, bolted bonnet.  Screwed connections.",Vogt,2801.0,Standard,"ASME
B16.34",800.0,15 to 50,,,Vogt,12111.0
,V7171,Gate,Screwed FNPT,Bronze,"Gate valve, screwed connections, all bronze construction, OS&Y, rising stem, bolted bonnet.  UL listed and FM approved for firewater service.",,,Full,,125.0,,,,,
,V7211,Gate,"Flanged B16.5
150# RF",Cast Steel,"Class 150, RF, cast steel gate valve.  Flexible Disc.  13% chrome trim, stellite seats.  OS&Y, bolted bonnet.",Kitz,150SCLS,Full,"API 600
ASME B16.34",150.0,40 to 900,,,Kitz,150SCLS
,V7212,Gate,"Flanged B16.5
300# RF",Cast Steel,"Class 300, RF, cast steel gate valve.  Flexible Disc.  13% chrome trim, stellite seats.  OS&Y, bolted bonnet.",Kitz,300SCLS,Full,"API 600
ASME B16.34",300.0,40 to 600,,,Kitz,300SCLS
,V7221,Gate,"Flanged B16.1
125# FF",Cast Iron,"Class 125, FF, all iron gate valve.  Solid wedge.  O.S.&Y, bolted bonnet.",Jenkins,523J,Full,,125.0,50 to 200,,,Jenkins,523J
,V7222,Gate,"Flanged B16.1
125# FF",Cast Iron,"Class 125, FF, gate valve.  Cast iron body, bronze trim.  O.S.&Y, rising stem, bolted bonnet.  UL listed and FM approved for firewater service.",Jenkins,825CJ,Full,UL/FM,125.0,,,,Jenkins,825CJ
,V7223,Gate,"Flanged B16.1
125# FF",Cast Iron,"Class 125, FF, gate valve.  Cast iron body, bronze trim.  O.S.&Y, rising stem, bolted bonnet.  UL listed and FM approved for fire protection water service. c/w lock (open)",Jenkins,825CJ-LD,Full,UL/FM,125.0,,,,Jenkins,825CJ-LD
,V7231,Gate,"Flanged B16.5
150# RF",Stainless Steel,"Class 150 RF, gate valve. Cast 316 stainless steel body, 316 stainless disc, OS&Y, bolted bonnet.",Kitz,150UMAM,Full,"API 600
ASME B16.34",150.0,15 to 600,,,Kitz,150UMAM
l,V7241,Gate,"Flanged B16.5
150# RF",Forged Steel,"Class 150, RF, forged steel gate valve.  Flexible Disc.  13% chrome trim, stellite seats.  OS&Y, bolted bonnet.",Kitz,150SCLS,Full,"API 600
ASME B16.34",150.0,15 to 50,,,,
,V7239,Gate,Flanged,Stainless Steel,"Roller Gate Valve Manually Operated Handcrank, Non Rising Stem, 304 S.S. Frame, Blade, Seal and Shear Protectors.",Frisch,,,,,,,,Frisch,
l,V7242,Gate,"Flanged B16.5
300# RF",Forged Steel,"Class 300, RF, forged steel gate valve.  Flexible Disc.  13% chrome trim, stellite seats.  OS&Y, bolted bonnet.",Kitz,150SCLS,Full,"API 600
ASME B16.34",300.0,15 to 50,,,,
,V7281,Gate,"Flanged B16.5
150# RF",Alloy,"Class 150 RF, gate valve. Cast Alloy 20 body and bonnet (ASTM A351 Gr. CN7M), Alloy 20 trim. OS&Y, Teflon packing.",Kitz,150UMACN,Full,,150.0,15 to 150,,,Crane Aloyco,Fig 117
,V7282,Gate,"Flanged B16.5
150# FF",Alloy,"CWP 150 FF, gate valve. Lewmet body and bonnet (2” to 4”), D24 iron body and bonnet (6” to 24”). Lewmet trim, teflon packing.  Double flexible wedge, OS&Y, rising stem.",Chas. S Lewis,150/151/121,Full,,CWP150,15 to 600,,,Chas. S Lewis,150/151/121
,V7283,Gate,"Flanged B16.5
150# FF",Alloy,Same as V7282 with extended hand wheel,Chas. S Lewis,150/151/121,Full,,CWP150,15 to 600,,,Chas. S Lewis,150/151/121
,V7331,Gate,Socket,Stainless Steel,"Class 800 forged 316 stainless steel gate valve.  Stellite seats, OS&Y, bolted bonnet, rising stem. Socket weld connections.",Vogt,,Standard,"ASME
B16.34
API 602",800.0,15 to 50,,,Vogt,SW-12401
,V7341,Gate,Socket,Forged Steel,"Class 800 gate valve. A105 forged steel body, 13% chrome trim, stellite seats.  OS&Y, bolted bonnet, graphite pacing.  Socket weld connections.",Vogt,SW-2801,Standard,"ASME
B16.34
API 602",800.0,15 to 50,,,Vogt,SW-12111
l,V7381,Gate,Socket,Alloy Steel,"Class 800 gate valve. A182 F22 Class 3 forged alloy steel body, 13% chrome trim, full stellite seats (disc & body),  OS&Y, bolted bonnet, graphite packing.  Socket weld connections.",Vogt,SW-2801,Standard,"ASME
B16.34
API 602",800.0,15 to 50,,,Vogt,SW-12321 FHF
,V7411,Gate,Buttweld,Carbon Steel,"Class 600 gate valve, cast steel  A216 Gr WCB, 13% Cr trim, stellite body seats, graphite packing, OS&Y, bolted bonnet, rising stem, flexible wedge. ASME B16.25 buttweld connection (connecting pipe schedule to be specified with order).",,,,"ASME B16.34
API 600",600.0,80 to 600,,,Kitz,W600 SCLS
,V7412,Gate,Buttweld,Carbon Steel,"Class 900 gate valve, cast steel  A216 Gr WCB, 13% Cr trim, stellite body seats, graphite packing, OS&Y, bolted bonnet, rising stem, flexible wedge. ASME B16.25 buttweld connection (connecting pipe schedule to be specified with order).",,,,"ASME B16.34
API 600",900.0,80 to 600,,,Kitz,W900 SCLS
,V7481,Gate,Buttweld,Alloy Steel,"Class 900 gate valve, cast alloy steel  A217 Gr WC6, 13% Cr trim, full stellite seats (disc & body), graphite packing, OS&Y, bolted bonnet, rising stem, flexible wedge. ASME B16.25 butweld (connecting pipe schedule to be specified with order).",,,,"ASME B16.34
API 600",900.0,80 to 600,,,Kitz,W900 SCLS6CY
,V7831,Knife Gate,Lug Tapped (150#),Stainless Steel,"150#, lug tapped, gate valve. Cast 316 stainless steel body, 316 stainless steel gate.  Viton seat, teflon packing.",Delta Industrial,150-SSSSE2/1-HW,Full,,150.0,50 to 2000,,,Delta Industrial,150-SSSSE2/1-HW
,V8121,Globe,Screwed FNPT,Cast Iron,"1000# CWP, screwed globe valve.  Malleable iron body, all iron 13% Cr trim.  Union bonnet, rising stem.",Crane,254XR,,,CWP 1000,6 to 50,,,Crane,254XR
,V8131,Globe,Screwed FNPT,Stainless Steel,"Class 800 globe valve, forged 316 stainless steel body and trim.  Stellite seat, bolted bonnet, rising stem. Screwed connctions",Bonney Forge,HL3-8-T,,"ASME
B16.34",800.0,15 to 50,,,Bonney Forge,HL3-8-T
,V8141,Globe,Screwed FNPT,Forged Steel,"Class 800 globe valve, A105 forged steel  body, 13% chrome trim, stellite seats.  OS&Y, bolted bonnet.  Screwed connections.",Vogt,12141.0,,"ASME
B16.34",800.0,15 to 50,,,Vogt,12141.0
,V8191,Globe,Screwed (NGT),Special,"The Chlorine Institute Valve for Cylinders and Containers. Alloy B body, monel stem.  Per Chlorine Institute drawing 110 to 113.  Cleaned and dried for chlorine service.  NGT screwed connection.",,,,,,,,,,
,V8211,Globe,"Flanged B16.5
150# RF",Carbon Steel,"Class 150, RF, Cast carbon steel globe valve.  13% chrome trim, stellite seats.  OS&Y, bolted bonnet, rising stem.",Kitz,150SCJS,,"ASME
B16.34",150.0,50 to 400,,,Kitz,150SCJS
,V8212,Globe,"Flanged B16.5
300# RF",Carbon Steel,"Class 300, RF, gland type globe valve.  A350 LF2 carbon steel body, bonnet and disc.  Hastelloy C trim, stellite seats. (A352 LCC body and bonnet 1-1/5” and larger).  Cleaned and dried for chlorine service",Vogt,,,,300.0,6 to 50,,,Vogt,
