# doc_id=0-REP-5 table=9 inline=true
Health and Safety Statistics,Year-4,Year-3,Year-2,Year-1
Total shop man-hours,,,,
No. first-aid cases,,,,
No. injuries needing medical attention only,,,,
No. of Lost Time Injuries,,,,
