# doc_id=0-REP-8400 table=9 inline=true
Site Safety and Health plan:,
Site Safety Representative:,
"Drug, Alcohol and Substance abuse policy:",
Any pre-employment and or follow up medical exams:,
Other? Specify:,
"Are there any Diseases (i.e., Malaria) known to exist in the project area?",
