# doc_id=0-TAB-5 table=13 inline=true
Have taxes and duties been investigated?,Yes,,No,
Is Vendor supply chain disruption likely?,Yes,,No,
Is legal system viable?,Yes,,No,
Is labour disruption of fabrication or transportation likely?,Yes,,No,
