# doc_id=0-REP-5 table=12 inline=true
,Very Good,Good,Average,Poor
Management,,,,
Eng/Design,,,,
Drafting,,,,
Welding shop facilities,,,,
Machine shop facilities,,,,
Workmanship,,,,
Quality Control,,,,
Morale,,,,
Attitude towards visitors,,,,
Cooperation,,,,
Safety,,,,
Documentation control,,,,
Overall Impression,,,,
