# doc_id=4-LST-0101 discipline=4 revision=R0
Equipment,Equipment_1,Comments
7551C,SO3 Cooler Fan,Single Abs
7552D,Air Screen,
7553X,Silencer,
7554C,Inter SO3 Cooler Fan,Double Abs
7555H,Inter SO3 Cooler,Double Abs
7556H,Inter Reheat Exchanger,Double Abs
7557H,Cold Reheat Exchanger,Double Abs
7558H,Economizer,Single Abs
7559H,Inter Economizer,Double Abs
7560H,Inter Superheater,
7561U,Oleum Tower,
7562K,Oleum Tower Mist Eliminator,
7565U,Absorber Tower,Single Abs
7566K,Absorber Mist Eliminator,Single Abs
7567U,Inter Tower,Double Abs
7568K,Inter Mist Eliminator,Double Abs
7570H,4-5 Cooler,
7581H,4-5 Exchanger,
7582H,4-5 Economizer,
7575H,Final SO3 Cooler,
7576C,Final SO3 Cooler Fan,
7577D,Air Screen,
7578X,Silencer,
7579H,Final Economizer,
7580H,Final Superheater,
7585U,Final Tower,
7586K,Final Mist Eliminator,
7587F,Stack,
7590F,Preheat Furnace,
7591H,Preheat Exchanger,
7592C,Combustion Air Fan,
7593C,Dilution Air Fan,
7594F,Preheater Stack,
Area 176,SO2 Plant,
7601C,SO2 Booster Fan,
7605U,Secondary Drying Tower,
7606K,Secondary Drying Mist Eliminator,
7607P,Secondary Drying Acid Pump,
7608H,Secondary Drying Acid Cooler,
7609B,Secondary Drying  Acid Distributor,
7615H,SO2 Gas Chiller,
7616H,SO2 Condenser,
7617T,Vapour Separator,
7625P,SO2 Distillation Column Feed Pump,
7626H,Refrigerant Sub-Cooler,
7627U,SO2 Distillation Column,
7628H,SO2 Distillation Reboiler,
7635P,SO2 Product Pump,
7640T,SO2 Storage Tank,
7641P,SO2 Loading Pump,
7650C,Refrigerant Compressor,
7655H,Compressor Oil Cooler,
7656K,Compressor Oil Filter,
7657P,Compressor Oil Pump,
7658T,Compressor Oil Separator,
7659P,Oil Make-up Pump,
7665H,Refrigerant Condenser,
7666T,Refrigerant Flash Vessel,
7667T,Refrigerant Receiver,
Area 177,Tail Gas Scrubbers,
7701U,Peroxide Scrubber,
7702K,Peroxide Scrubber Mist Eliminator,
7703P,Peroxide Scrubber Pump,
7704B,Peroxide Scrubber Distributor,
7710T,Weak Acid Storage Tank,
7711P,Weak Acid Transfer Pump,
7715T,Weak Acid Sump,
7716P,Weak Acid Sump Pump,
7720T,Peroxide Storage Tank,
7721P,Peroxide Pump,
7725T,Peroxide Sump,
7726P,Peroxide Sump Pump,
7780U,Caustic Scrubber,
7781T,Caustic Scrubber Pump Tank,
7785P,Caustic Scrubber Circulation Pump,
7788C,Caustic Scrubber Vent Blower,
7790T,Caustic Storage Tank,
7791P,Caustic Metering Pump,
7792A,Caustic Dilution Mixer,
Area 178,Contact Plant - Acid,
7804T,Predry Pump Tank,
7805P,Predry Pump,
7806H,Predry Cooler,
7807K,Predry Strainer,
7808B,Predry Distributor,
7810T,Dry Pump Tank,
7811P,Dry Pump,
7812K,Dry Strainer,
7813H,Dry Cooler,
7814B,Dry Distributor,
7815B,Dry Gas Injection Packing Support,Equipment supply only
7817T,Acid Pump Tank,Combined Dry Inter Final
7818H,Acid Cooler,Combined Dry Inter Final
7820T,Absorber Pump Tank,Single Abs/combined inter final
7821P,Absorber Pump,Single Abs/combined inter final
7822K,Absorber Strainer,Single Abs/combined inter final
7823H,Absorber Cooler,Single Abs/combined inter final
7824B,Absorber Distributor,Single Abs
7825B,Absorber Gas Injection Packing Support,Equipment supply only
7827S,Strong Acid Sample Box,
7830T,Inter Pump Tank,Double Abs
7831P,Inter Pump,Double Abs
7832K,Inter Strainer,Double Abs
7833H,Inter Cooler,Double Abs
7834B,Inter Distributor,Double Abs
7835B,Inter Gas Injection Packing Support,Equipment supply only
7836A,Inter Dilution Mixer,
7840T,Final Pump Tank,
7841P,Final Pump,
7842K,Final Strainer,
7843H,Final Cooler,
7844B,Final Distributor,
