# doc_id=5-LST-0004 discipline=5 revision=R0
col_0,Client Name,col_2,col_3,col_4,"Piping Service List
(Utilities)",col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,"Aker Kvaerner Chemetics
A Division of Aker Kvaerner Canada Inc.",col_16,col_17,col_18
,Project Title,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Standard-5-LST-0003-R0,,,
,Service Code,Fluid,Fluid Composition,Material Description / Application,ASME B31.3 Fluid Class,Pressure Test Method,Flange Guard,"Corr. Allow.
(mm)","Service Pres.
(kPag)","Service Temp.
(oC)","Pipe Spec Service Limit
(kPag @ oC)",Pipe Spec,Gasket Spec,Valve Application,Valve Code,"Valve Size
(Min)","Valve Size
(Max)",Notes
,AC,"Air, Compressed
(Plant / Mill Air)",,"Carbon Steel, Galvanised",D,Service,No,0,600 - 800,Amb,1034 @ 177,CS4,B,On-Off / Isolation (ball),V1112,15,50,"For SS valves use V1131, V1132 for instr isolation / free ends."
,,,,,,,,,,,,,,Check (lift),V4115,15,50,
,,,,,,,,,,,,,,On-Off / Isolation (plug),V5115,15,50,
,,,,,,,,,,,,,,On-Off / Isolation (plug),V5215,80,150,
,,,,,,,,,,,,,,Throttling (globe),V8211,80,100,
,,,,,,,,,,,,,,Throttling (globe),V8341,15,50,
,JLP,"Steam,
Low Pressure Saturated",,Carbon Steel,N,Hydro,No,1.5,< 400,< 152,1034 @ 204,CS6,P or B,On-Off / Isolation (ball),V1112,15,50,
,,,,,,,,,,,,,,Check (lift),V4142,15,50,
,,,,,,,,,,,,,,Check (swing),V4211,50,600,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7211,50,600,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7341,15,50,
,,,,,,,,,,,,,,Throttling (globe),V8341,15,50,
,JMP,"Steam,
Medium Pressure Saturated",,Carbon Steel,N,Hydro,No,1.5,< 2000,< 215,2068 @ 232,CS14,Y1,Check (lift),V4142,15,50,
,,,,,,,,,,,,,,Check (swing),V4214,50,200,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7212,50,600,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7341,15,50,
,,,,,,,,,,,,,,Throttling (globe),V8341,15,50,
,,,,Carbon Steel,N,Hydro,No,1.5,≤ 1034,≤ 204,1034 @ 204,CS6,Y1,Check (lift),V4142,15,50,
,,,,,,,,,,,,,,Check (swing),V4211,50,600,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7211,50,600,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7341,15,50,
,,,,,,,,,,,,,,Throttling (globe),V8211,80,300,
,,,,,,,,,,,,,,Throttling (globe),V8341,15,50,
,CLP,"Steam Condensate,
Low Pressure",,Carbon Steel,N,Hydro,No,1.5,< 400,< 152,1034 @ 204,CS6,B,On-Off / Isolation (ball),V1112,15,50,
,,,,,,,,,,,,,,Check (lift),V4142,15,50,
,,,,,,,,,,,,,,Check (swing),V4211,50,300,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7211,50,300,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7341,15,50,
,,,,,,,,,,,,,,Throttling (globe),V8341,15,50,
,CMP,"Steam Condensate,
Medium Pressure",,Carbon Steel,N,Hydro,No,1.5,< 2000,< 215,2068 @ 232,CS14,Y1,Check (lift),V4142,15,50,
,,,,,,,,,,,,,,Check (swing),V4214,50,200,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7212,50,600,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7341,15,50,
,,,,,,,,,,,,,,Throttling (globe),V8341,15,50,
,,,,Carbon Steel,N,Hydro,No,1.5,≤ 1034,≤ 204,1034 @ 204,CS6,Y1,Check (lift),V4142,15,50,
,,,,,,,,,,,,,,Check (swing),V4211,50,600,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7211,50,600,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7341,15,50,
,,,,,,,,,,,,,,Throttling (globe),V8211,80,300,
,,,,,,,,,,,,,,Throttling (globe),V8341,15,50,
,CHS,"Water, Chilled Supply",,Carbon Steel,D,Service,No,1.5,100 - 400,15,1034 @ 204,CS9,B,On-Off / Isolation (ball),V1112,15,50,
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1211,80,100,
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2837,50,200,
,,,,,,,,,,,,,,Check (swing),V4131,15,50,
,,,,,,,,,,,,,,Check (swing),V4231,80,200,
,CHR,"Water, Chilled Return",,Carbon Steel,D,Service,No,1.5,200 - 500,30,1034 @ 204,CS9,B,On-Off / Isolation (ball),V1112,15,50,
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1211,80,100,
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2837,50,200,
,,,,,,,,,,,,,,Check (swing),V4131,15,50,
,,,,,,,,,,,,,,Check (swing),V4231,80,200,
,WCS,"Water, Cooling
Supply",<2000 ppm Cl-,Carbon Steel,D,Service,No,1.5,200 - 500,20 - 30,1034 @ 204,CS9,B,On-Off / Isolation (ball),V1112,15,50,
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1211,25,100,
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2837,80,500,
