# doc_id=0-LST-4007 discipline=0 revision=R0
"Primary
Code",col_1,Work Code,Cost Code Description,UOM,"Cost 
Type",Comments,col_7,col_8
,1702,,"Erection Materials  -  MATERIAL COST ONLY
 (Material costs for bolts, gaskets, and miscellaneous materials, including weld rods.  Charge labor to pipe erection)",LS,"M,V",,x,
,1703,,"Hangers and Supports - Engineered
 (Labor, Material and Subcontract cost for Hangers and Supports - Engineered)",LS,"L,M,U,S,V",,x,
,1704,,"Hangers and Supports - Non-Engineered
 (Labor, Material and Subcontract cost for Hangers and Supports - Non-Engineered)",LS,,,,
,1705,,"Testing
 (Labor, Material and Subcontract cost for Testing (Including Hydro-Testing))",LS,"L,M,U,S,V",,x,
,1706,,"NDE (Non-Destructive Examination)
 (Labor, Material and Subcontract cost for NDE)",LS,"L,M,U,S,V",,x,
,1707,,"Cleaning and Pickling
 (Labor, Material and Subcontract cost for Cleaning and Pickling)",LS,"L,M,U,S,V",,x,
,1708,,"Hot Taps
 (Labor, Material and Subcontract cost for Hot Taps)",EA,,,,
,1709,,"Steam Tracing
 (Includes related Labor and Material.  Quantity is LF/LM of pipe traced.  Electric Trace in 1815)",LF/LM,"L,M,U,S,V",,x,
1700.0,,,ABOVE GROUND PIPING - Continued  (HEADER ONLY),,,,,
,1710,,"Pipe/Fittings - Loose and/or Pre-fab  MATERIAL COST ONLY - 1711 - 1719
 (Material cost of pipe and fittings in all sizes and wall thicknesses)",,,,,
,1710-0001,,Carbon Steel Piping,LF/LM,"L,M,U,S,V,N,P",New - User Defined,,
,1710-0002,,Stainless Steel Piping,LF/LM,"L,M,U,S,V,N,P",New - User Defined,,
,1710-0003,,Titanium Piping,LF/LM,"L,M,U,S,V,N,P",New - User Defined,,
,1710-0004,,Plastic Piping,LF/LM,"L,M,U,S,V,N,P",New - User Defined,,
,1710-0005,,Fiberglass Piping,LF/LM,"L,M,U,S,V,N,P",New - User Defined,,
,1710-0006,,Carbon Steel Lined Piping,LF/LM,"L,M,U,S,V,N,P",New - User Defined,,
,1710-0007,,Dual Laminate Piping (all except FEP/FRP),LF/LM,"L,M,U,S,V,N,P",New - User Defined,,
,1710-0008,,Dual Laminate Piping (FEP/FRP),LF/LM,"L,M,U,S,V,N,P",New - User Defined,,
,1711,,"Pipe/Fittings - Loose and/or Pre-fab - Carbon Steel  -  MATERIAL COST ONLY
 (Carbon Steel, Chrome Moly, Low Temp CS, Galv. Material cost of carbon steel pipe and fittings in all sizes and wall thicknesses)",LF/LM,,,,
,1712,,"Pipe/Fittings - Loose and/or Pre-fab - Stainless Steel  -  MATERIAL COST ONLY
 (Material cost of stainless steel pipe and fittings in all sizes and wall thicknesses.)",LF/LM,,,,
,1713,,"Pipe/Fittings - Loose and/or Pre-fab - Exotic/Alloy  -  MATERIAL COST ONLY
 (Material cost of exotic pipe and fittings in all sizes and wall thicknesses)",LF/LM,,,,
,1714,,"Pipe/Fittings - Loose and/or Pre-fab - Jacketed  -  MATERIAL COST ONLY
 (Material cost of jacketed pipe and fittings in all sizes and wall thicknesses)",LF/LM,,,,
,1715,,"Pipe/Fittings - Loose and/or Pre-fab - Lined  -  MATERIAL COST ONLY
 (Material cost of lined pipe and fittings in all sizes and wall thicknesses)",LF/LM,,,,
,1716,,"Pipe/Fittings - Loose and/or Pre-fab - Non-metallic  -  MATERIAL COST ONLY
 (Material cost of non-metallic pipe and fittings in all sizes and wall thicknesses)",LF/LM,,,,
,1717,,"Pipe/Fittings - Loose and/or Pre-fab - Other  -  MATERIAL COST ONLY
 (Material cost of other pipe and fittings in all sizes and wall thicknesses)",LF/LM,,,,
,1718,,"Pre-Fab Pipe (Outside Shops) - Material and Shop Labor Cost
 (Material costs for pipe fabricated by an outside shop)",LS,,,,
,,,User Defined Pipe/Ftgs.  1719 - MATERIAL COST ONLY,,,,,
1700.0,,,ABOVE GROUND PIPING - Continued  (HEADER ONLY),,,,,
,1720,,"Valves MATERIAL COST ONLY (use 1721-1729 as alternatives)
(Material cost of all valves used for piping installation in the materials described )",EA,"M,V",Revised Description,x,
,1721,,"Valves - Carbon Steel, Low Alloy, Bronze, Low Temp  -  MATERIAL COST ONLY
 (Material cost of all valves used for piping installation in the materials described)",EA,"M,V",,x,
,1722,,"Valves - Alloy (Stainless Steel)  -  MATERIAL COST ONLY
 (Material cost of all valves used for piping installation in the materials described)",EA,"M,V",,x,
,1723,,"Valves - Exotics (Hastelloy, Nickel, etc.)  -  MATERIAL COST ONLY
 (Material cost of all valves used for piping installation in the materials described)",EA,"M,V",,x,
,1724,,"Valves - Jacketed  -  MATERIAL COST ONLY
 (Material cost of all valves used for piping installation in the materials described)",EA,"M,V",,x,
,1725,,"Valves - Lined  -  MATERIAL COST ONLY
 (Material cost of all valves used for piping installation in the materials described)",EA,"M,V",,x,
,1726,,"Valves - Non-Metallic  -  MATERIAL COST ONLY
 (Material cost of all valves used for piping installation in the materials described)",EA,"M,V",,x,
,1727,,"Valves - Other  -  MATERIAL COST ONLY
 (Material cost of all valves used for piping installation in the materials described)",EA,"M,V",,x,
,,,User Defined Valves  1728 - 1729  -  MATERIAL COST ONLY,,,,,
1700.0,,,ABOVE GROUND PIPING - Continued  (HEADER ONLY),,,,,
,1730,,"Site Spool Fabrication  1731 - 1749
 (Labor cost to fabricate pipe on-site.  Include fittings, handling, gouging, grinding, welding and all other field shop labor operations)",,,,,
,1731,,"Site Spool Fabrication - CS - < - 2""
 (Labor cost to fabricate pipe on-site.  Include fittings, handling, gouging, grinding, welding and all other field shop labor operations)",LF/LM,,,,
,1732,,"Site Spool Fabrication - CS - 2.5"" - 12""
 (Labor cost to fabricate pipe on-site.  Include fittings, handling, gouging, grinding, welding and all other field shop labor operations)",LF/LM,,,,
,1733,,"Site Spool Fabrication - CS - >= 14""
 (Labor cost to fabricate pipe on-site.  Include fittings, handling, gouging, grinding, welding and all other field shop labor operations)",LF/LM,,,,
,1734,,"Site Spool Fabrication - SS - < - 2""
 (Labor cost to fabricate pipe on-site.  Include fittings, handling, gouging, grinding, welding and all other field shop labor operations)",LF/LM,,,,
,1735,,"Site Spool Fabrication - SS - 2.5"" - 12""
 (Labor cost to fabricate pipe on-site.  Include fittings, handling, gouging, grinding, welding and all other field shop labor operations)",LF/LM,,,,
,1736,,"Site Spool Fabrication - SS - >= 14""
 (Labor cost to fabricate pipe on-site.  Include fittings, handling, gouging, grinding, welding and all other field shop labor operations)",LF/LM,,,,
,1737,,"Site Spool Fabrication - Jacketed
 (Labor cost to fabricate pipe on-site.  Include fittings, handling, gouging, grinding, welding and all other field shop labor operations)",LF/LM,,,,
,1738,,"Site Spool Fabrication - Lined
 (Labor cost to fabricate pipe on-site.  Include fittings, handling, gouging, grinding, welding and all other field shop labor operations)",LF/LM,,,,
,1739,,"Site Spool Fabrication - Other than CS and Alloy
 (Labor cost to fabricate pipe on-site.  Include fittings, handling, gouging, grinding, welding and all other field shop labor operations)",LF/LM,,,,
,,,User Defined Site Spool Fabrication 1740 - 1749,,,,,
1700.0,,,ABOVE GROUND PIPING - Continued  (HEADER ONLY),,,,,
,1750,,"Spool Erection  1741 - 1759
 (Labor costs for spool erection and valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",,,,,
,1751,,"Spool Erection - CS - < - 2""
 (Labor costs for spool erection and valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1752,,"Spool Erection - CS - 2.5"" - 12""
 (Labor costs for spool erection and valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1753,,"Spool Erection - CS - >= 14""
 (Labor costs for spool erection and valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1754,,"Spool Erection - SS - < - 2""
 (Labor costs for spool erection and valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1755,,"Spool Erection - SS - 2.5"" - 12""
 (Labor costs for spool erection and valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1756,,"Spool Erection - SS - >= 14""
 (Labor costs for spool erection and valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1757,,"Spool Erection - Jacketed
 (Labor costs for spool erection and valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1758,,"Spool Erection - Lined
 (Labor costs for spool erection and valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1759,,"Spool Erection - Other than CS and Alloy
 (Labor costs for spool erection and valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,,,User Defined Site Spool Erection 1760 - 1769,,,,,
1700.0,,,ABOVE GROUND PIPING - Continued  (HEADER ONLY),,,,,
,1770,,"Field Run Pipe - Rack  1761 - 1779
 (Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1771,,"Field Run Pipe - Rack - CS - < - 2""
 (Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1772,,"Field Run Pipe - Rack - CS - 2.5"" - 12""
 (Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1773,,"Field Run Pipe - Rack - CS - >= 14""
 (Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1774,,"Field Run Pipe - Rack - SS - < - 2""
 (Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1775,,"Field Run Pipe - Rack - SS - 2.5"" - 12""
 (Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1776,,"Field Run Pipe - Rack - SS - >= 14""
 (Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1777,,"Field Run Pipe - Rack - Other than CS and Alloy
 (Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,,,User Defined Field Run Pipe - Rack  1778 - 1779,LF/LM,,,,
1700.0,,,ABOVE GROUND PIPING - Continued  (HEADER ONLY),,,,,
,1780,,"Field Run Pipe  (use 1782~1797 as alternatives)
 (Material and Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,"L,M,U,S,V",,x,
,1781,,"Field Run Pipe - Other - CS - < - 2""
 (Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1782,,"Field Run Pipe - CS
 (Material and Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,"L,M,U,S,V",,x,
,1783,,"Field Run Pipe - Other - CS - >= 14""
 (Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1784,,"Field Run Pipe - Other - SS - < - 2""
 (Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1785,,"Field Run Pipe - SS
 (Material and Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,"L,M,U,S,V",,x,
,1786,,"Field Run Pipe - Other - SS - >= 14""
 (Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,,,,
,1787,,"Field Run Pipe - Others
 (Material and Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,"L,M,U,S,V",,x,
,1788,,"Field Run Pipe - Fiberglass
(Material and Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,"L,M,U,S,V",,x,
,1789,,"Field Run Pipe  - Plastic
(Material and Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,"L,M,U,S,V",,x,
,1790,,"Field Run Pipe  - Titanium
(Material and Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,"L,M,U,S,V",,x,
,1791,,"Field Run Pipe - Dual Laminate (all except FEP/FRP)
(Material and Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,"L,M,U,S,V",,x,
,1792,,"Field Run Pipe  - Dual Laminate (FEP/FRP) 
(Material and Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)",LF/LM,"L,M,U,S,V",,x,
,1798,,"Above Ground Piping  
(Material, Labor costs for erection of field run pipe, valves, control valves, safety valves, valve positioners, valve operators, orifice runs and similar items.  Include welding and temporary supports.)  (CODE FOR COST ROLL-UP)",LF/LM,"L,M,U,S,V",,x,
,1799,,Re-Work,LS,,,,
1800.0,,,ABOVE GROUND ELECTRICAL  (HEADER ONLY),,,,x,
,1810,,High Voltage - Distribution Equipment  1811 - 1819,EA,,,,
,1811,,Switchgear,EA,,,,
,1812,,Transformers,EA,,,,
,1813,,Breakers,EA,,,,
,,,User Defined High Voltage - Distribution Equipment 1814 - 1819,,,,,
,1820,,Medium Voltage - Distribution Equipment  1821 - 1829,EA,,,,
,1821,,Switchgear,EA,,,,
,1822,,Transformers,EA,,,,
,1823,,Breakers,EA,,,,
,1824,,MCC's,EA,,,,
,1825,,Starters,EA,,,,
,1826,,VFD's,EA,,,,
,1827,,Buss Duct,EA,,,,
,,,User Defined Medium Voltage - Distribution Equipment 1828 - 1829,,,,,
,1830,,Low Voltage- Distribution Equipment  1831 - 1849,EA,,,,
,1831,,Switchgear,EA,"L,M,U,S,V",,x,
,1832,,Transformers,EA,"L,M,U,S,V",,x,
,1833,,Breakers,EA,"L,M,U,S,V",,x,
,1834,,MCC's,EA,"L,M,U,S,V",,x,
,1835,,Starters,EA,"L,M,U,S,V",,x,
,1836,,VFD's,EA,"L,M,U,S,V",,x,
,1837,,Distribution Panels,EA,"L,M,U,S,V",,x,
,1838,,Bus Duct,EA,"L,M,U,S,V",,x,
,,,User Defined Low Voltage - Distribution Equipment 1839 - 1849,,,,,
1800.0,,,ABOVE GROUND ELECTRICAL - Continued  (HEADER ONLY),,,,,
,1850,,DC - Distribution Equipment,EA,"L,M,U,S,V",,x,
,1851,,"UPS, Batteries",EA,"L,M,U,S,V",,x,
,1852,,Tray,LF/LM,"L,M,U,S,V",,x,
,1853,,Conduit,LF/LM,"L,M,U,S,V",,x,
,1854,,Wire & Cable,LF/LM,"L,M,U,S,V",,x,
,1855,,Terminations,EA,"L,M,U,S,V",,x,
,1856,,Testing,LS,"L,M,U,S,V",,x,
,1857,,Motors,EA,"L,M,U,S,V",,x,
,1858,,Transformers,EA,"L,M,U,S,V",,x,
,1859,,Communications,LS,"L,M,U,S,V",,x,
,1860,,Light Fixtures,EA,"L,M,U,S,V",,x,
,1861,,"Electrical Tracing
 (Includes related Labor and Material.  Quantity is LF/LM of pipe traced.  Steam Trace in 1761)",LF/LM,"L,M,U,S,V",,x,
,1862,,"Poles, Towers, Structures",EA,"L,M,U,S,V",,x,
,1863,,Yard Lighting,EA,,,,
,1870,,Devices  1871 - 1879  (Use 1871-1879 as alternatives),EA,"L,M,U,S,V",,x,
,1871,,Pushbutton Stations,EA,"L,M,U,S,V",,x,
,1872,,Utility Stations,EA,"L,M,U,S,V",,x,
,1873,,Fused Disconnects,EA,"L,M,U,S,V",,x,
,,,User Defined Devices  1874 - 1879,,,,,
,1880,,Junction Boxes,EA,"L,M,U,S,V",,x,
,1881,,Grounding Above Ground,LFG,"L,M,U,S,V",,x,
,1882,,Overhead Lines,LFA,"L,M,U,S,V",,x,
,,,User Defined  1883 - 1898,,,,,
,1883,,"Electrical Equipment
(Including material and Labor cost for all Electrical Equipment)",EA,"L,M,U,S,V",New - User Defined,x,
,1884,,Bus Bar,EA,"L,M,U,S,V",New - User Defined,x,
,1885,,Lighting,EA,"L,M,U,S,V",New - User Defined,x,
,1886,,Lightning Protection,EA,"L,M,U,S,V",New - User Defined,x,
,1898.0,,"Above Ground Electrical 
(Includes all related Labor and Material costs for above Ground Electrical work items)  (CODE FOR COST ROLL-UP)",LS,"L,M,U,S,V",,x,
,1899,,Re-Work,LS,,,,
1900.0,,,INSTRUMENTATION  (HEADER ONLY),,,,x,
,1901,,"Control and Relief Valves
 (Material Cost Only. Include power operators.  Charge installation to 17XX accounts)",EA,"M,V",,x,
,1902,,Transmitters,EA,"M,V",,x,
,1903,,Analyzers,EA,"M,V",,x,
,1904,,Other Instrumentation,EA,"M,V",Revised Description,x,
,1905,,Instrument Stands,EA,"L,M,U,S,V",,x,
,1906,,Instrument Air,EA,"L,M,U,S,V",,x,
,1907,,Loop Checks,EA,"L,M,U,S,V",,x,
,1908,,Calibration/Testing,LS,"L,M,U,S,V",,x,
,1909,,Winterization,LS,,,,
,1910,,Instrument Panels/Racks,EA,,,,
,1911,,Distributed Control Systems,EA,"L,M,U,S,V",,x,
,1912,,Programmable Logic Controllers,EA,"L,M,U,S,V",,x,
,1913,,CCTV,EA,,,,
,1998,,"Instrumentation
(Costs for all instruments work)  (CODE FOR COST ROLL-UP)",EA,"L,M,U,S,V",,x,
,1999,,Re-Work,LS,,,,
2000.0,,,INSULATION  (HEADER ONLY),,,,x,
,2001,,Insulation Pipe,LF/LM,"L,M,U,S,V",Revised Description,x,
,2002,,Insulation Pipe - Cold,LF/LM,,,,
,2003,,Insulation Equipment,SF/SM,"L,M,U,S,V",Revised Description,x,
,2004,,Insulation Equipment - Cold,SF/SM,,,,
,2005,,Insulation - Cold Box,SF/SM,,,,
,2006,,Insulation - LNG Tanks,SF/SM,,,,
,2007,,Insulation - Duct,SF/SM,"L,M,U,S,V",,x,
,2008,,Insulation - Buildings,SF/SM,"L,M,U,S,V",,x,
,2009,,Insulation - Sound Attenuation,SF/SM,,,,
,2010,,Insulation - Instrument Winterization,SF/SM,,,,
,2098,,"Insulation 
(All Material and Labor costs for Insulation)  (CODE FOR COST ROLL-UP)",,"L,M,U,S,V",,x,
,2099,,Re-Work,LS,,,,
2100.0,,,PAINTING  (HEADER ONLY),,,,x,
,2110,,Painting  (Use 2111 - 2129 as Alternative),SF/SM,"L,M,U,S,V",,x,
,2111,,Painting - Steel,SF/SM,"L,M,U,S,V",,x,
,2112,,Painting - Pipe,SF/SM,"L,M,U,S,V",,x,
,2113,,Painting - Buildings,SF/SM,"L,M,U,S,V",,x,
,2114,,Painting - Equipment,SF/SM,"L,M,U,S,V",,x,
,,,User Defined Painting  2115 - 2129,,,,,
,2130,,Acid Protection  (Use 2131 - 2139 as Alternative),SF/SM,"L,M,U,S,V",,x,
,2131,,Acid Protective Membranes,SF/SM,"L,M,U,S,V",,x,
,2132,,Acid Brick,SF/SM,"L,M,U,S,V",,x,
,2133,,Acid Tile,SF/SM,"L,M,U,S,V",,x,
,,,User Defined Acid Protection  2133 - 2139,,,,,
,2140,,Special Coatings (Use 2141 - 2149 as Alternative),SF/SM,"L,M,U,S,V",,x,
,,,User Defined Special Coatings  2141 - 2149,,"L,M,U,S,V",,x,
,2198,,"Painting, Coating, Acid Protection 
(All Material and Labor costs for Painting. Coating, and Acid Protection)  (CODE FOR COST ROLL-UP)",SF/SM,"L,M,U,S,V",,x,
,2199,,Re-Work,LS,,,,
2200.0,,,REFRACTORY  (HEADER ONLY),,,,x,
,2201,,Brick,LS,,,,
,2202,,Castable,LS,,,,
,2203,,Rammed,LS,,,,
,2298.0,,Refractory,,"L,M,U,S,V",,x,
,2299,,Re-Work,LS,,,,
5000.0,,,MACHINERY/EQUIPMENT  (HEADER ONLY),,,,x,
,5010,,Principal/Proprietary Equipment  (Use 5011 - 5019 as Alternative),EA,"L,M,U,S,V",Revised Description,x,
,5011,,Cold Box,EA,,,,
,5013.0,,Electrolyzer,EA,"L,M,U,S,V",,x,
,5014.0,,Acid Tower - Dry Tower,EA,"L,M,U,S,V",,x,
,5015.0,,Acid Tower - Inter Tower,EA,"L,M,U,S,V",,x,
,5016.0,,Acid Tower- Final tower,EA,"L,M,U,S,V",,x,
,5017.0,,Gas/Gas Heat Exchanger,EA,"L,M,U,S,V",,x,
,,,User Defined Principal/Proprietary Equipment  5018 - 5019,EA,"L,M,U,S,V",,x,
,5271.0,,"Ductwork (Use 5280 - 5283 as Alternative)
(All Material and Labor costs for Ductwork)  (CODE FOR COST ROLL-UP)",EA,"L,M,U,S,V",,,
,5280.0,,"Ductwork -CS
(All Material and Labor costs for Ductwork)",EA,"L,M,U,S,V",,,
,5281.0,,"Ductwork -SS
(All Material and Labor costs for Ductwork)",EA,"L,M,U,S,V",,,
,5282.0,,"Ductwork - Fiberglass
(All Material and Labor costs for Ductwork)",EA,"L,M,U,S,V",,,
,5283.0,,"Ductwork - Other Material
(All Material and Labor costs for Ductwork)",EA,"L,M,U,S,V",,,
,5020,Need Use Equipment Number as Work Codes (see separate Cost Code and Work Code Combination),"Pumps  
Horizontal(Centrifugal),Horizontal(Split Case),Slurry,Submersible,Vertical Turbine, Positive displacement, Horizontal(Multi-stage), Vertical(Sump, Sanitary), Metering pumps, etc.",EA,"L,M,U,S,V",,x,
,5021,,"Horizontal, Centrifugal",EA,,,,
,5022,,"Horizontal, Split Case",EA,,,,
,5023,,Slurry,EA,,,,
,5024,,Submersible,EA,,,,
,5025,,Vertical Turbine,EA,,,,
,5026,,Positive Displacement,EA,,,,
,5027,,"Horizontal, Multi-stage",EA,,,,
,5028,,"Vertical: Sump, Sanitary",EA,,,,
,5029,,Metering,EA,,,,
,,,User Defined Pumps  5030 - 5039,,,,,
,5040,,"Compressors, Blowers
Air Compressor (Centrifugal), Air Compressor (Rotary), Air Compressor (Reciprocating), Process Gas Compressor (Centrifugal), Process Gas Compressor (Rotary), Process Gas Compressor (Reciprocating), Compressor Accessories, Blowers ( Pressure) & Vacuum/Fans, Vacuum Pumps, Ejectors & Eductors.",EA,"L,M,U,S,V",,x,
,5041,,"Air Compressor, Centrifugal",EA,,,,
,5042,,"Air Compressor, Rotary",EA,,,,
,5043,,"Air Compressor, Reciprocating",EA,,,,
,5044,,"Process Gas Compressor, Centrifugal",EA,,,,
,5045,,"Process Gas Compressor, Rotary",EA,,,,
,5046,,"Process Gas Compressor, Reciprocating",EA,,,,
,5047,,Compressor Accessories,EA,,,,
,5048,,"Blowers, Pressure & Vacuum/Fans",EA,,,,
,5049,,Vacuum Pumps,EA,,,,
,5050,,Ejectors & Eductors,EA,,,,
,,,"User Defined Compressors, Blowers  5051 - 5059",,,,,
,,,MACHINERY/EQUIPMENT - Continued  (HEADER ONLY),,,,,
,5060,,"Heaters, Boilers, Coolers
Heaters, Boilers, Cooling Towers, Wet Surface Air Cooler (Fin Fan Cooler), Refrigeration Systems, Process Furnaces, Incinerators, Regenerators/Recuperators, Burners & Controls.",EA,"L,M,U,S,V",,x,
,5061,,Heaters,EA,,,,
,5062,,Boilers,EA,,,,
,5063,,Cooling Towers,EA,,,,
,5064,,"Wet Surface Air Cooler, Fin Fan Cooler",EA,,,,
,5065,,Refrigeration Systems,EA,,,,
,5066,,Process Furnaces,EA,,,,
,5067,,Incinerators,EA,,,,
,5068,,Regenerators/Recuperators,EA,,,,
,5069,,Burners & Controls,EA,,,,
,,,"User Defined Heaters, Boilers, Coolers  5070 - 5079",,,,,
,5080,,"Blending & Separating Equipment
Paddle Mixers (Tank Agitators), Belt Mixer, Centrifuges, Screens, Strainers, Clarifier/Thickener Mechanism, Separators, Spiral Classifier, Magnetic Separators.",EA,"L,M,U,S,V",,x,
,5081,,"Paddle Mixers, Tank Agitators",EA,,,,
,5082,,Belt Mixer,EA,,,,
,5083,,Centrifuges,EA,,,,
,5084,,Screens,EA,,,,
,5085,,Strainers,EA,,,,
,5086,,Clarifier/Thickener Mechanism,EA,,,,
,5087,,Separators,EA,,,,
,5088,,Spiral Classifier,EA,,,,
,5089,,Magnetic Separators,EA,,,,
,,,User Defined Blending & Separating Equipment  5090 - 5099,,,,,
,,,MACHINERY/EQUIPMENT - Continued  (HEADER ONLY),,,,,
,5110,,"Formation & Reduction Equipment
Crushers, Mills, Pelletizing Machines (Balling Discs & Drums) Briquetting Machines, Extruders, Shredders.",EA,"L,M,U,S,V",,x,
,5111,,Crushers,EA,,,,
,5112,,Mills,EA,,,,
,5113,,"Pelletizing Machines, Balling Discs & Drums",EA,,,,
,5114,,Briquetting Machines,EA,,,,
,5115,,Extruders,EA,,,,
,5116,,Shredders,EA,,,,
,,,User Defined Formation & Reduction Equipment  5117 - 5129,,,,,
,5130,,"Material Handling Equipment
Belt Conveyors, Other Material Handling Equipment, Conveyor Supports, Bins (Silos, Hoppers Chutes), Gates (Hopper Discharge Devices), Pneumating Conveying Systems.",EA,"L,M,U,S,V",,x,
,5131,,Belt Conveyors,EA,,,,
,5132,,Other Material Handling Equipment,EA,,,,
,5133,,Conveyor Supports,EA,,,,
,5134,,"Bins, Silos, Hoppers Chutes",EA,,,,
,5135,,"Gates, Hopper Discharge Devices",EA,,,,
,5136,,Pneumating Conveying Systems,EA,,,,
,5137,,Loaders/Unloaders,EA,,,,
,,,User Defined Material Handling Equipment  5138 - 5149,,,,,
,,,MACHINERY/EQUIPMENT - Continued  (HEADER ONLY),,,,,
,5150,,"Lifting & Hoisting Equipment
Elevators, EOT Cranes, Gantry Cranes, Other Cranes, Hoists, Car Pullers, Car Shakers.",EA,"L,M,U,S,V",,x,
,5151,,Elevators,EA,,,,
,5152,,EOT Cranes,EA,,,,
,5153,,Gantry Cranes,EA,,,,
,5154,,Other Cranes,EA,,,,
,5155,,Hoists,EA,,,,
,5156,,Car Pullers,EA,,,,
,5157,,Car Shakers,EA,,,,
,,,User Defined Lifting & Hoisting Equipment  5158 - 5169,,,,,
,5170,,"Filtration Equipment
Vacuum Drum Filter, Filter Press, Deep Bed Sand Filters, Disk Filters, Membrane Filter System.",EA,"L,M,U,S,V",,x,
,5171,,Vacuum Drum Filter,EA,,,,
,5172,,Filter Press,EA,,,,
,5173,,Deep Bed Sand Filters,EA,,,,
,5174,,Disk Filters,EA,,,,
,5175,,Membrane Filter System,EA,,,,
,,,User Defined Filtration Equipment  5176 - 5189,,,,,
,5190,,"Weighing & Sampling Equipment
Weigh Belt Feeders, Scales, Samplers.",EA,"L,M,U,S,V",,x,
,5191,,Weigh Belt Feeders,EA,,,,
,5192,,Scales,EA,,,,
,5193,,Samplers,EA,,,,
,,,User Defined Weighing & Sampling Equipment  5194 - 5199,,,,,
,,,MACHINERY/EQUIPMENT - Continued  (HEADER ONLY),,,,,
