# doc_id=0-LST-4007 discipline=0 revision=R0
"Primary
Code",col_1,Work Code,Cost Code Description,UOM,"Cost 
Type",Comments,col_7,col_8
,0451,,"Gravity Flow - < 12""",LF/LM,,,,
,0452,,"Gravity Flow - 12"" - 30""",LF/LM,,,,
,0453,,"Gravity Flow - >30""",LF/LM,,,,
,,,User Defined Gravity Flow  0454 - 0459,,,,,
0400,,,UNDERGROUND PIPING & EXCAVATION - Continued  (HEADER ONLY),,,,,
,0460,,"Specialties - Pressure Flow 
(Including Hydrants, Monitors, PIV's Hose Reels, etc.)",EA,"L,M,U,S,V",,x,
,0461,,Hydrants,EA,,,,
,0462,,Monitors,EA,,,,
,0463,,PIV's,EA,,,,
,0464,,Hose Reels,EA,,,,
,,,User Defined Specialties - Pressure Flow  0465 - 0469,,,,,
,0470,,"Specialties - Gravity Flow 
(Including Manholes, Lift Stations, Sumps, etc.)",EA,"L,M,U,S,V",,x,
,0471,,Manholes,EA,,,,
,0472,,Lift Stations,EA,,,,
,0473,,Sumps,EA,,,,
,,,User Defined Specialties - Gravity Flow  0474 - 0479,,,,,
,0480,,Excavation,CY/CM,,,,
,0481,,Backfill,CY/CM,,,,
,0482,,Shoring and Sheeting,SF/SM,,,,
,0483,,Testing,LS,,,,
,0498,,"Underground Piping & Excavation 
(All underground piping work, excavation & backfill)  (CODE FOR COST ROLL-UP)",LS,"L,M,U,S,V",,x,
,0499,,Re-Work,LS,,,,
0700,,,PILING  (HEADER ONLY),,,,x,
,0701,,"Sheet Piling
 (Permanent sheet piling only.  Includes materials, installation and/or support activity for subcontractor.  Charge temporary sheet piling to coded activity requiring piling)",TN,,,,
,0710,,"Load Bearing Piling  0711 - 0729
 (Includes all materials & installation for “H” type, steel cylinder, concrete,  wood & composite piles)",,,,,
,0711,,H-Piles,EA,,,,
,0712,,Pipe Piles,EA,,,,
,0713,,Auger Cast,EA,,,,
,0714,,Drilled Piers,EA,,,,
,0715,,Pre-cast Concrete,EA,,,,
,0716,,Wood,EA,,,,
,0717,,Micro Piles (Pin Piles),EA,,,,
,0718,,Stone Piles,EA,,,,
,,,User Defined Load Bearing Piling  0719 - 0729,,,,,
,0730,,Testing,LS,,,,
,0798,,"Piling 
(Including all materials & labor costs for all types of Piles)",TN/EA/LS,"L,M,U,S,V",,x,
,0799,,Re-Work,LS,,,,
0800,,,CONCRETE  (HEADER ONLY),,,,x,
,0801,,Concrete - Material Cost,CY/CM,,,,
,0802,,Forms - Material Cost,SF/SM,,,,
,0803,,Rebar - Material Cost,LB/KG,,,,
,0804,,Anchor Bolts and Embedded Steel - Material Cost,LB/KG,,,,
,0805,,"Expansion Joint, Waterstop, Vapor Barrier - Material Cost",LF/LM,,,,
,0806,,Purchased fill - Material Cost,CY/CM,,,,
,0807,,"Excavation (See structural excavation, 0200, as alternative coding)",CY/CM,,,,
,0808,,"Backfill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0809,,Spoils,CY/CM,,,,
,,,User Defined  0810 - 0819,,,,,
,0820,,"Piers 
(All costs for Pier, including Material and Labor costs for concrete, forms, rebars, anchor bolts, embeded steel, expension joint, water stop, vapor barrier and costs for excavation and backfill)",LS,"L,M,U,S,V",,x,
,0820,,Concrete,CY/CM,,,,
,0820,,Forms,SF/SM,,,,
,0820,,Rebar,LB/KG,,,,
,0820,,Anchor Bolts and Embedded Steel,LB/KG,,,,
,0820,,"Expansion Joint, Waterstop, Vapor Barrier",LF/LM,,,,
,0820,,"Excavation (See structural excavation, 0200, as alternative coding)",CY/CM,,,,
,0820,,"Backfill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0820,,"Purchased fill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0821,,"Grade Beams, Footings, Piers
(All costs for Beams, Footings, Piers, including Material and Labor costs for concrete, forms, rebars, anchor bolts, embeded steel, expension joint, water stop, vapor barrier and costs for excavation and backfill)",LS,"L,M,U,S,V",,x,
,0821,,Concrete,CY/CM,,,,
,0821,,Forms,SF/SM,,,,
,0821,,Rebar,LB/KG,,,,
,0821,,Anchor Bolts and Embedded Steel,LB/KG,,,,
,0821,,"Expansion Joint, Waterstop, Vapor Barrier",LF/LM,,,,
,0821,,"Excavation (See structural excavation, 0200, as alternative coding)",CY/CM,,,,
,0821,,"Backfill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0821,,"Purchased fill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
0800,,,CONCRETE - Continued  (HEADER ONLY),,,,,
,0822,,"Grade Beams
(All costs for Grade Beams, including Material and Labor costs for concrete, forms, rebars, anchor bolts, embeded steel, expension joint, water stop, vapor barrier and costs for excavation and backfill)",LS,"L,M,U,S,V",,x,
,0822,,Concrete,CY/CM,,,,
,0822,,Forms,SF/SM,,,,
,0822,,Rebar,LB/KG,,,,
,0822,,Anchor Bolts and Embedded Steel,LB/KG,,,,
,0822,,"Expansion Joint, Waterstop, Vapor Barrier",LF/LM,,,,
,0822,,"Excavation (See structural excavation, 0200, as alternative coding)",CY/CM,,,,
,0822,,"Backfill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0822,,"Purchased fill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
