# doc_id=0-TAB-5 table=4 inline=true
,Bidder A,Bidder B,Bidder C
Satisfactory Finance Evaluation?,,,
"Outstanding claims/disputes
[project, manager, amount]",,,
"Previous Claims or Disputes
[project, manager, amount, resolution]",,,
Value of current orders this Vendor,,,
