# doc_id=0-REP-2001-1 table=2 inline=true
Milestone,Original Schedule,Revised Schedule,"Achieved 
Date"
Pre-Engineering Award,,,
Contract Award,,,
Priority 1 Equipment Ordered,,,
Engineering Complete,,,
Mechanical Completion,,,
Pre-Comm Complete,,,
Plant Start-up,,,
