# doc_id=4-SPC-0047-2 table=1 inline=true
Rev:,Date:,Status:,Prepared By:,Checked By:,Approved By:
2,10-Sep-04,Standard,S. Clarke,J. Purdy,D. Shaw
1,1-Aug-04,Standard,S. Clarke,J. Purdy,J. Nelson
0,24-Jun-04,Comments Requested,S. Clarke,J. Purdy,T.Ueki
