# doc_id=5-SPC-FR13-R1 FR 25# Pressure Rating discipline=5 revision=R1
,HP & LP,,,,,,Type/Rating,,,,,,"Flat faced Flanged, ASME B16.5 or ASME B16.47 Series A Class 150 dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INST. CONN.,,,,,,Type/Rating,,,,,,"Flat faced Flanged, ASME B16.5 or ASME B16.47 Series A Class 150 dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,"Pipe, fittings, and joints, will meet the requirements of ASME B31.3.   The Vendor will submit a summary of the methods and codes used in design, fabrication, testing, and inspection.  Only ASME RTP-1, ASTM, or other industry accepted codes and standards, will be used.   Where requested the vendor will submit dimensional standards with design calculations and/or proof of design test results.  Structural laminate design calculations will be based on a minimum safety factor of 10:1 on ultimate tensile strength.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,"Vinyl Ester resins Derakane® 411, Hetron® 922, Palatel A430 or Chemetics approved equivalent will be used for the corrosion liner, anti-wicking barrier, and structural layer.  For the exterior surface layer (final 1.5 mm) use Derakane® 510C with 5% antimony trioxide added to achieve an ASTM E84 Class 1 flame spread rating.  The exterior surface resin will contain a pigment (colour to be confirmed by Chemetics), UV inhibitor, and external wax/resin topcoat - i.e. hot coat. Curing system to be MEKP/CoNap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,"Laminate Construction:  Corrosion Liner/Anti Wicking Barrier, 2.8 mm minimum thickness, 1 Nexus veil +2 chopped strand mat, hand lay-up construction, excluded from structural calculations.  Structural Layer: hand lay-up and/or filament wound construction. Exterior surface layer:  Finish with 1 layer of chopped strand mat + C-glass veil, and exterior resin coats, excluded from structural calculations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,One-piece molded fittings with integral structure are preferred.   Fittings made by intersecting (corrosion lined) pipes and overlapping the seam area with an additional corrosion liner are acceptable.  Smooth flow elbows will be supplied for 750 diameter and less - 2 or 3 piece mitered elbows may only be used on 900 diameter and above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0,"Flanged branches 80 diameter and below, will be gusseted with 4 equi-spaced gussets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.0,Butt and strap joints will be 6 to 1 tapered type.   The exposed width of corrosion liner will be less than the liner thickness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.0,"Where requested, the Vendor will provide pre-cut field joint kits and detailed field joint installation drawings and instructions. Joint kits will be provided in individual water tight packages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.0,Only sheet glass goods and continuous roving of North American and Western European manufacture will be used in fabrication.  Chopper-spray guns are not allowed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.0,The designer will confirm that all flanged components have compatible bolt patterns.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
