# doc_id=0-SPC-5003 table=2 inline=true
Insurance Against,Minimum amount of cover or minimum limit of indemnity
Loss of or damage to the Vendor’s plant and equipment  not intended to be incorporated into the Goods and Services,
"Liability arising out of the use by Vendor of owned, non-owned and hired vehicles.","$1,000,000 combined for each event."
Liability for death of or bodily injury to employees of the Vendor arising out of and in the course of their employment in connection with this Purchase Order.,"In accordance with laws of jurisdiction in which work is performed, but no less than $1,000,000 for each employee, each event for bodily injury by accident or disease."
