# doc_id=0-SPC-0001 table=1 inline=true
Rev:,Date:,Status:,Prepared By:,Checked By:,Approved By:
3,21-Feb-03,Standard,J. Nelson,T. Ueki,J. Nelson
2,10-Jan-03,Standard,J. Nelson,T. Ueki,J. Nelson
1,18-Nov-02,Standard,J. Nelson,T. Ueki,J. Nelson
