# doc_id=4-SPC-0068 table=1 inline=true
Rev:,Date:,Status:,Prepared By:,Checked By:,Approved By:
2,20-Sep-03,Standard,S. Clarke,G. Schwab,T. Ueki
1,20-Jan-03,Standard,S. Clarke,G. Schwab,T. Ueki
0,04-Oct-02,Comments Requested,S. Clarke,G. Schwab,T. Ueki
