# doc_id=8-LST-0112 discipline=8 revision=R0
col_0,Instrument No.,col_2,P&ID,Fluid,"Comp.
(%v/v)",Physical Properties at N.O.C.,col_7,Flowrate (m3/h),col_9,col_10,Temperature (°C),col_12,col_13,Inlet Pressure (kPa(g)),col_15,Max. Pressure Drop (kPa),"Shut-off press
(kPa(g))",Fail Action,Recommended type,col_20,Leakage,Material of Construction,col_23,col_24,col_25,col_26,Operating Case Reference,Comments
,Aker Kvaerner Chemetics,Owner,,,,"Visc.
(Cp)","Dens.
(kg/m3)",Min.,Norm.,Max.,Min.,Norm.,Max.,Norm. Flow,Max. Flow,,,,Valve,Seal,,Wetted parts,,,Body,Gasket/Seal,,
,,,,,,,,,,,,,,,,,,,,,,Seat,Disc,Shaft,,,,
