# doc_id=0-LST-2005 discipline=0 revision=R1
Rev:,Date:,Status:,Prepared By:,Checked By:,Approved By:
1,23-Apr-03,Standard,M. Sargent,[Sales Manager],M. Sargent
0,25-Feb-03,Standard,M. Sargent,A. Jankowski,G. Goto
