# doc_id=0-POL-9111 table=2 inline=true
Leave type,Duration of leave,"Frequency of
Leave"
"R&R 
(Assignments on sites that have limited access to R&R)",3 day weekend to an R&R location as designated by the project.  Excludes travel time.  Includes 1 paid day off.,Once every 4 weeks provided that an additional 2 weeks will be required on site.
"Home Leave
(Overseas Assignments)",1 week in duration.  Excludes travel time.  Includes 1 paid week off (37.5 hours).,After 3 months on site provided that an additional month will be required on site.
"Home Leave
(Canada & USA)",3 day weekend.  Excludes travel time.  Includes 1 paid day off.,After 4 weeks on site provided that an additional 2 weeks will be required on site.
