# doc_id=5-SPC-0101 table=2 inline=true
Specification,Material,Service,Rating
CS11,Carbon Steel,Dry Gaseous Cl.,150 Psig/-29C
CS12,Low Temp. CS,Dry Liquid & Gaseous Cl.,300 Psig/-46C
