# doc_id=0-PRC-8002 table=3 inline=true
Exposure Hours Worked,Exposure Hours Worked,Exposure Hours Worked
Average No of Employees,Average No of Employees,Average No of Employees
Fatalities,,
Lost Work Day Cases,Lost Work Day Cases,Lost Work Day Cases
Restricted Work Cases,Restricted Work Cases,Restricted Work Cases
Non Lost Work Cases,Non Lost Work Cases,Non Lost Work Cases
Workdays Lost,Workdays Lost,Workdays Lost
Restricted Days,Restricted Days,Restricted Days
First Aid Cases,First Aid Cases,First Aid Cases
Total OSHA Reportable Cases,Total OSHA Reportable Cases,Total OSHA Reportable Cases
Incidents,Incidents,Serious Incidents (>$10K)
,,Fire/Property Damage (1K)
,,Environmental Incidents
,,Vehicle Accidents
,,Govt Non Serious Notices
,,Govt Serious/Citation Notice
,,Total Training Hours
,,Number of Inspections and Audits
,,Number of Task Risk Analysis
,,Number of Risk Observations
,,Number Near Misses
