# doc_id=4-LST-0101 discipline=4 revision=R0
Equipment,Equipment_1,Comments
1813A,Brine Slurry Agitator,
1815A,Brine Slurry Feed Pump,
Area 20,Sodium Chloride Electrolyzers,
2001R,Electrolyzer,
Area 21,Sodium Chloride Cell Room,
2102H,Brine/Caustic Heat Exchanger,
2105T,Chlorinated Brine Tank,
2106A,Acid/Brine Mixer,
2107T,Weak Brine Tank,
2108P,Weak Brine Pump,
2109P,Brine Recirculation Pump,
2110T,Catholyte Tank,
2111P,Catholyte Pump,
2113H,Catholyte Heat Exchanger,
2114T,Hydrogen Seal Tank,
2115T,Chlorine Vacuum Seal,
2116T,Chlorine Pressure Seal,
2119H,Weak Brine pH Cooler,
2120F,Hydrogen Stack,
2130R,Chlorate Destruction Reactor,
2131H,Chlorate Destruction Heater,
2132A,Chlorate Destruction Agitator,
2133U,Chlorate Destruction Scrubber,
2140P,Caustic Product Pump,
2125P,B.T. Caustic Metering Pump (Brine Treatment),
2126P,D.B. Caustic Metering Pump (Dechlorinated Brine),
2141H,Caustic Cooler (General),
2150T,OffSpec Caustic Tank,
2151P,OffSpec Caustic Pump,
2152H,OffSpec Caustic Cooler,
2153K,Catholyte Filter,
Area 22,Electrolyzer Renewal Equipment,
2210X,Electrolyzer Assembly Frame,
2211X,Electrolyzer Assembly Tools,
2212X,Electrolyzer Crane,
2213X,Electrolyzer Lifting Frame/Electrolyzer Lifting Jig,
2214X,Electrolyzer Maintenance Hoist,
2215X,Electrolyzer Bypass Assembly,
2220X,Electrolyzer Shorting Switch,
2221X,Shorting Switch Hoist,
2222X,Electrode Welding Machine,
2223X,Membrane Repairing Machine,
2225X,Scissor Lift,
Area 24,Sodium Chlorate Electrolyzers,
2401R,Electrolyzer,
Area 25,Sodium Chlorate Cell Room,
2505T,Degasifier,
2510T,Reactor,
2515H,Electrolyte Cooler,
2516H,Heat Recovery Exchanger,
2517H,pH Probe Cooler,
2520C,Dilution Air Fan,
2530T,Sodium Dichromate Mix Tank,
2531A,Sodium Dichromate Agitator,
2532P,Sodium Dichromate Pump,
Area 26,Sodium Chlorate Electrolyzer Renewal Equipment,
2601X,Electrolyzer Bypass Assembly,
2602X,Electrolyzer Extension Frame,
2603X,Electrolyzer Assembly Trolley,
2604X,Electrolyzer Wheel Set,
2605X,Electrolyzer Anode and Cathode Assembly Combs,
Area 30,Caustic Processing,
3001H,Cell Caustic Cooler,
3004T,Intermediate Caustic Storage Tank (32%),
3005P,Caustic Evaporator Feed Pump,
3006P,Intermediate Caustic Storage Pump (32%),
3007T,Caustic Head Tank,
3008H,2nd Effect Preheater,
3009H,Condensate Preheater,
3010H,Evaporation Preheater,
3011J,First Effect Vapour Body,
3012H,First Effect Heating Element (alternative First Effect Heater),
3013P,First Effect Circulation Pump,
3014J,Second Effect Vapour Body,
3015H,Second Effect Heating Element (alternative Second Effect Heater),
3016P,Second Effect Circulation Pump,
3017J,Third Effect Evaporator,
3018H,Third Effect Reboiler,
3019P,Third Effect Caustic Circulation Pump,
3020T,Evaporator Seal Tank,
3021P,Concentrated Caustic Pump,
3022H,Concentrated Caustic Cooler,
3024P,Second Effect Condensate Pump,
3025P,Third Effect Condensate Pump,
3026T,First Effect Steam Separator,
3027P,Second Effect Transfer Pump,
3029H,Condensate Cooler,
3030H,Barometric Condenser (alternative Vapour Condenser),
3031V,Ejector,
3032H,Intercondenser,
3033V,Second Stage Ejector,
3034H,After Cooler,
3035V,(rename) Caustic Evaporation Vacuum Pump,
3036T,Water Trap,
3037T,Ejector Discharge Receiver,
3038T,Vapour Condenser Separator,
3039T,First Condensate Flash Tank,
3040T,Hotwell,
3041P,Hotwell Pump,
3042H,Caustic Condensate Cooler,
3043T,Concentrated Caustic Pump Tank,
3044P,Concentrated Caustic Transfer Pump,
3045T,Condensate Flash Tank,
3046P,Caustic Condensate Pump,
3047T,Second Caustic Condensate Tank,
3048T,Pure Caustic Head Tank,
3049P,Pure Caustic Pump,
3050T,Concentrated Caustic Storage Tank (50%),
3052P,Concentrated Caustic Storage Pump (50%),
3053T,Concentrated Caustic Head Tank (50%),
3054T,Caustic Tank (32%),
3055P,Caustic Tank Pump,
3056P,Caustic Unloading Pump,
3060T,Caustic Dilution Tank,
3061A,Caustic Dilution Agitator,
3062P,Caustic Dilution Pump,
3063H,Caustic Dilution Cooler,
3064A,Caustic Dilution Static Mixer,
3065A,Caustic Dilution Tank Mixer,
3069T,Caustic Ejector Receiver,
3070T,Dilute Caustic Storage Tank (< 20%),
3071P,Dilute Caustic Supply Pump (< 20%),
3073T,Dilute Caustic Head Tank (< 20%),
3074P,Dilute Caustic Booster Pump,
3075T,Caustic MakeUp Tank,
3079M,Flake Caustic Crane,
3080X,Caustic Flaking System,
3081J,Final Concentrator,
3082H,Molten Salt Heater,
3085X,Fuel Oil Burning System,
3086P,Molten Salt Pump,
3087X,Flaker,
3091U,Caustic Vent Scrubber,
3092C,Caustic Exhaust Fan,
3093H,Caustic Heater,
Area 31,Potassium Hydroxide Handling,
