# doc_id=4-LST-0101 discipline=4 revision=R0
Equipment,Equipment_1,Comments
8001R,Chlorine Dioxide Generator,
8003J,Weak Chlorate Evaporator,
8010H,Generator Gas Cooler,
8011U,Chlorine Dioxide Absorber,
8012T,Chlorine Dioxide Pump Tank,
8013P,Chlorine Dioxide Transfer Pump,
8014H,Chlorine Dioxide Recycle Chiller,
8017C,Weak Chlorine Blower  General,
8017C1,Weak Chlorine Blower  Humidifying Spray Nozzle,
8020H,Evaporator Condenser,
8021P,Weak Chlorate Pump,
8025C,Dilution Air Compressor System,
8028T,Generator Water Quench Tank,
8029P,Generator Water Quench Pump,
8030T,Chlorine Dioxide Storage Tank,
8031P,Chlorine Dioxide Supply Pump,
8032U,Chlorine Dioxide Scrubber,
8035U,Chlorine Dioxide Vent Scrubber (Storage Tank),
8036H,Chlorine Dioxide Scrubber Cooler,
8037P,Chlorine Dioxide Scrubber Pump,
8038A,Hydrogen Peroxide Dilution Mixer,
8039C,ClO2 Scrubber Fan,
8040P,Chlorine Dioxide Booster Pump,
8050U,Chlorine Dioxide Solution Heater Module,
8061R,Chlorine Dioxide Generator,
8062P,Circulation Pump,
8063H,Generator Heater,
8064K,Air Filter,
8066P,Chlorate Return Pump,
8067H,Weak Chlorate Heater,
8068T,Gas Separator,
8070H,Chlorine Dioxide Condenser,
8071U,Absorber/Stripper,
8072K,Stripper Filter,
8077C,Weak Chlorine Vacuum Pump,
8079H,Drains Cooler,
Area 81,Chlorine Dioxide Generation,
8101R,Chlorine Dioxide Generator,
8102P,Circulation Pump,
8103H,Generator Heater,
8110T,Generator Hold Tank,
8111H,Generator Hold Tank Heater,
8112P,Generator Hold Tank Pump,
8120H,Chlorine Dioxide Condenser,
8121U,Absorber,
8122V,Absorber Vacuum,
8125H,Vacuum Condenser,
8126T,Vacuum Seal Tank,
8130P,Filter Feed Pump,
8131K,Saltcake Filter Pre Thickener,
8132K,Saltcake Filter,
8133V,Saltcake Filter Ejector,
8134T,Vacuum Separator,
8135K,Saltcake Centrifuge,
8140T,Saltcake Solution Tank,
8141A,Saltcake Solution Agitator,
Area 85,Effluent,
8501T,Effluent or Recovery Sump,
8502P,Effluent or Recovery Sump Pump,
8503K,Effluent or Recovery Filter,
8304T,Recovery Liquor Treatment Tank,
8505A,Recovery Liquor Treatment Tank Agitator,
8506P,Recovery Liquor Pump,
8507T,Chlorate Recovery Tank,
8508P,Effluent or Recovery Pump,
8509P,Effluent Sump Agitator,
8510M,Effluent Pond,
8511P,Effluent Pond Pump,
8513M,Brine Effluent Pond,
8514M,Sewage Lifting Station,
8515A,(Demineralizer) Effluent Tank Agitator,
8516T,(Demineralizer) Effluent Tank,
8517P,(Demineralizer) Effluent Pump,
8518T,Filter Press Feed Tank,
8519P,Filter Press Feed Pump,
8520K,Filter Press,
8521M,Filter Press Sludge Chute,
8522A,Filter Press Feed Tank Agitator,
8530T,Chlorate Sludge Treatment Tank,
8531A,Chlorate Sludge Treatment Tank Agitator,
8532P,Chlorate Sludge Treatment Tank Pump,
8535T,Alkaline Sump,
8536P,Alkaline Sump Pump,
8537A,Alkaline  Sump Agitator,
8538P,Alkaline Sump Transfer Pump,
8540T,Acid Sump,
8541P,Acid Sump Pump,
8542A,Acid Sump Agitator,
8543P,Acid Sump Transfer Pump,
8545T,Ion Exchange Effluent Tank,
8546P,Ion Exchange Effluent Pump,
8547A,Ion Exchange Effluent Agitator,
8548J,Effluent Mixing Eductor,
8550T,Sewage Holding Tank,
8551P,Sewage Pump,
8560P,Storage Area Sump Pump,
8561P,Utility Sump Pump,
8580T,Absorber Collection Tank,was 8380T
8581P,Chlorine Dioxide Recovery Pump,was 8381P
Area 86,Oxygen,
8601T,Air Intake Stack,
8602K,Feed Air Filter,
8610C,Air Compressor,
8611H,Air Cooler,
8615H,Air Chiller,
8616H,Air Refrigeration Unit,
8520T,Air Moisture Separator,
8625K,Molecular Sieve,
8626X,Air Vent Silencer,
8627H,Regeneration Air Heater,
8630C,Expansion Turbine,
8635H,Main Heat Exchanger,
8640U,Pressure Column,
8641H,Main Condenser / Reboiler,
8642U,Low Pressure Column,
8643H,LP Column Reflux Subcooler,
8644T,Coldbox Drain Vaporizer,
8645X,Vent Gas Silencer,
8650C,Oxygen Compressor,
8655T,Liquid Oxygen Storage Tank,
8656P,Liquid Oxygen Booster Pump,
8657H,Oxygen Vaporizer,
8660C,Nitrogen Compressor,
8665T,Liquid Nitrogen Storage Tank,
8666P,Liquid Nitrogen Booster Pump,
8667H,Nitrogen Vaporizer,
Area 87,Sulphur Dioxide,
8705H,SO2 Vaporizer,
8707M,Sulphur Loading Conveyer,
8710T,Sulphur Melter,
8713P,Sulphur Pump,
8714K,Sulphur Filter,
8715H,Air Heater,
8716X,Sulphur Feed Nozzle,
8720R,Sulphur Burner,
8722R,Startup Burner,
8723T,Level Box,
8724H,SO2 Primary Cooler,
8728H,SO2 Secondary Cooler,
8729H,Tower Recirculation Cooler,
8730T,Weir Box,
8731P,Cooling Tower Recirulation Pump,
8733K,SO2 Recirculation Filter,
8735U,SO2 Absorption Tower,
8736C,SO2 Gas Fan,
8738P,SO2 Solution Transfer Pump,
8750T,SO2 Solution Storage Tank,
8751P,SO2 Solution Supply Pump,
