# doc_id=0-REP-5 table=8 inline=true
,Personnel,
,Quality Control Manager Reports to:,
,Inspectors Report to:,
,Number of Inspectors:,
,Does shop have qualified Welding Engineer or Supervisor?,
,Does shop have Materials Engineer?,
,Quality Assurance/Testing,
,Does Company have Q.A./Q.C. Manuals or Quality System? (describe),
,Is QA/QC manual to ISO 9000,
,Quality of Engineering Drawings and Procedures,
,Does Company have N.D.T. facilities and operators in-house?,
,In-House NDT,
,Radiographic:,
,Ultrasonic:,
,Helium Leak Detection:,
,Magnetic Particle:,
,Liquid Penetrant:,
,"If any of the above are subcontracted, indicate the controls used to ensure conformance to requirements.",
,Physical Laboratory:,
,Chemical Laboratory:,
,Metallurgical Laboratory:,
,Other forms of testing or Q.C.:,
