# doc_id=0-SPC-2204 table=1 inline=true
Rev:,Date:,Status:,Prepared By:,Checked By:,Approved By:
1,19-Sep-03,Standard,J. Archibald,J. Nelson,G. Schwab
0,08-Dec-02,Comments Requested,J. Nelson,G. Goto,T. Ueki
