# doc_id=5-SPC-0102 table=1 inline=true
Rev:,Issue Date:,Reason for Issue:,Issued By:,Checked By:,Approved By:
6,4-Aug-02,Standard,,,T. Ueki
5,30-Apr-02,Standard,K. Kamachi,,
4,17-Sep-01,Standard,S. Clarke,,T. Ueki
