# doc_id=0-LST-2004 discipline=0 revision=R3
Rev:,Date:,Status:,Prepared By:,Checked By:,Approved By:
,,Approved for Design,[Project Manager],T. Ueki,J. Nelson
,,Approved for Design,[Project Manager],G. Goto,J. Nelson
3,11-Jun-04,Standard,J. Nelson,A. Jankowski,G.Goto
2,5-Mar-03,Standard,J. Nelson,A. Jankowski,G.Goto
