# doc_id=0-REP-8400 table=3 inline=true
Project Type:,,
"Project Scope (EP, EPCA, EPC):","Project Scope (EP, EPCA, EPC):",
Project Size:,,
Constr. Materials:,,
Constr. Methods:,,
