# doc_id=1-LST-0001 discipline=1 revision=R0
No.,"Stream
Description","Design
Flow Rate",Interface,"Process
Design Press. (kPag)","Process
Design Temp. (oC)",Composition,Composition,Composition
No.,"Stream
Description","Design
Flow Rate",Interface,"Process
Design Press. (kPag)","Process
Design Temp. (oC)",Parameter,Value,Unit
