# doc_id=5-LST-0003 discipline=5 revision=R0
1.0,Service Code,Client Service Code,Fluid,Fluid Composition,"Material
Description",B31.3 Fluid Class,Pressure Test Method,Flange Guard,Corr. Allow. (mm),"Service Pres (kPag)
[max]","Service Temp (oC)
[max]",Pipe Spec,Gasket Spec,Valve Application,Valve Code,Valve Size (Min),Valve Size (Max),"Instrument
Connection
Type",Notes
,,,,,,,,,,,,,,Throttling (globe),V8211,80,100,,
,,,,,,,,,,,,,,Throttling (globe),V8341,15,50,,
,OD,,Diesel Oil,#2 Fuel,carbon steel,D*,service,no,1.5,1034,amb,CS7,P,On-Off / Isolation (gate),V7211,50,300,,*and to NFPA 30 or local
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7341,15,50,,codes and standards
,OF,,Fuel Oil,#6 Fuel,carbon steel,D*,service,no,1.5,1034,100,CS7,P,On-Off / Isolation (gate),V7211,50,300,,*and NFPA 30 or local
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7341,15,50,,codes and standards
,PRG,,Propane Gas,,carbon steel,N*,,no,1.5,1034,150,CS6,Y,Throttling (b'fly),V2813,150,300,,*and to applicable
,,,,,,,,,,,,,,On-Off / Isolation (plug),V5115,15,50,,local codes and standards
,,,,,,,,,,,,,,On-Off / Isolation (plug),V5215,80,300,,"(e.g. CSA B149, NFPA 54)"
,,,,,,,,,,,,,,Throttling (globe),V8211,80,100,,
,,,,,,,,,,,,,,Throttling (globe),V8341,15,50,,
,SAD,,Sulphuric acid drain,>94% H2SO4,316L stainless steel,N,hydro,yes,3.2,150,55,S65,U,On-Off / Isolation (ball),V1281,15,50,flanged,
,,,,,,,,,,,,,,On-Off / Isolation (plug),V5261,15,100,,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7281,50,100,,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7282,50,600,,
,SAS,,"Sulphuric Acid,
Strong",>98%  H2SO4,316 SS,N,hydro +  pneumatic,yes,3.2,1034,55,S65,U,On-Off / Isolation (ball),V1281,15,50,flanged,
,,,,,,,,,,,,,,Check (ball - vertical),V4262,25,200,,
,,,,,,,,,,,,,,Check (lift - horizontal),V4266,25,200,,
,,,,,,,,,,,,,,On-Off Isolation (plug),V5261,15,300,,
